strategy,strategy_type,gen_component,std_component,dataset,model,test_type,result_type,mIoU,mAcc,aAcc,fwIoU,has_per_domain,has_per_class,per_domain_metrics,timestamp
baseline,baseline,,,bdd10k,deeplabv3plus_r50,test_results_detailed,detailed,39.962339494100796,46.65977485007349,89.63837030782025,81.97079263100377,True,True,"{""clear_day"": {""mIoU"": 41.998356145245374, ""mAcc"": 48.7956768795514, ""aAcc"": 90.70190088734304, ""fwIoU"": 83.64482435370391}, ""cloudy"": {""mIoU"": 43.84110945418684, ""mAcc"": 49.54395333334478, ""aAcc"": 93.38564701618057, ""fwIoU"": 88.22045327631241}, ""dawn_dusk"": {""mIoU"": 34.65909538971706, ""mAcc"": 39.90831096417669, ""aAcc"": 90.37879539278218, ""fwIoU"": 83.24684042300336}, ""foggy"": {""mIoU"": 46.61508512052166, ""mAcc"": 56.41630726596616, ""aAcc"": 95.62488697453433, ""fwIoU"": 92.81099821219266}, ""night"": {""mIoU"": 19.303174578539338, ""mAcc"": 25.257733713891, ""aAcc"": 69.17499667866255, ""fwIoU"": 54.21347192991712}, ""rainy"": {""mIoU"": 37.69357947284984, ""mAcc"": 44.53056524435495, ""aAcc"": 87.49256996966747, ""fwIoU"": 78.65512117658973}, ""snowy"": {""mIoU"": 43.92827045539776, ""mAcc"": 53.70661405135064, ""aAcc"": 89.53244922959985, ""fwIoU"": 81.95475401175571}}",20260111_202318
baseline,baseline,,,bdd10k,pspnet_r50,test_results_detailed,detailed,43.153789622777964,50.30377833798332,89.91345280605645,82.38828141637654,True,True,"{""clear_day"": {""mIoU"": 44.545949202460136, ""mAcc"": 51.475597690741346, ""aAcc"": 90.81551616039464, ""fwIoU"": 83.78601564064687}, ""cloudy"": {""mIoU"": 48.024633576502175, ""mAcc"": 54.60577751927181, ""aAcc"": 93.62563024202936, ""fwIoU"": 88.60416816259122}, ""dawn_dusk"": {""mIoU"": 36.88688863538988, ""mAcc"": 43.17186010331165, ""aAcc"": 91.12302535538119, ""fwIoU"": 84.42402472156184}, ""foggy"": {""mIoU"": 50.923333316190686, ""mAcc"": 60.56536270995267, ""aAcc"": 96.3171165765203, ""fwIoU"": 93.78527979037345}, ""night"": {""mIoU"": 21.975481685867205, ""mAcc"": 29.531521501784958, ""aAcc"": 68.19921083444504, ""fwIoU"": 55.80925867060493}, ""rainy"": {""mIoU"": 43.15145582968402, ""mAcc"": 50.09182958807495, ""aAcc"": 88.66810764812833, ""fwIoU"": 80.34395830629877}, ""snowy"": {""mIoU"": 48.272857812734586, ""mAcc"": 57.887315381390316, ""aAcc"": 90.09625927050487, ""fwIoU"": 82.68743427601532}}",20260111_202307
baseline,baseline,,,bdd10k,segformer_mit-b5,test_results_detailed,detailed,49.15057248125267,56.48777596587783,91.54963757453665,84.99069849964019,True,True,"{""clear_day"": {""mIoU"": 50.8856304540247, ""mAcc"": 58.35686943466485, ""aAcc"": 92.01430670156222, ""fwIoU"": 85.74618230045327}, ""cloudy"": {""mIoU"": 52.78199163889772, ""mAcc"": 59.32417559753588, ""aAcc"": 94.61045477952217, ""fwIoU"": 90.21913469811369}, ""dawn_dusk"": {""mIoU"": 42.40157552699464, ""mAcc"": 49.94845962124504, ""aAcc"": 92.0846513482232, ""fwIoU"": 86.15946085434058}, ""foggy"": {""mIoU"": 56.02003116495483, ""mAcc"": 69.59495285600916, ""aAcc"": 95.95543508639255, ""fwIoU"": 93.12590555189381}, ""night"": {""mIoU"": 28.423767237786095, ""mAcc"": 36.34314993228591, ""aAcc"": 77.39174327340427, ""fwIoU"": 65.32308054808624}, ""rainy"": {""mIoU"": 49.39204868081498, ""mAcc"": 56.863882225279504, ""aAcc"": 90.86704480864528, ""fwIoU"": 83.78822402720604}, ""snowy"": {""mIoU"": 55.57237241161732, ""mAcc"": 67.41379228595153, ""aAcc"": 91.53028935468514, ""fwIoU"": 85.12687301180202}}",20260113_051643
baseline,baseline,,,idd-aw,deeplabv3plus_r50,test_results_detailed,detailed,37.03773367641951,46.21167108840529,82.02985116076074,71.35688881803074,True,True,"{""clear_day"": {""mIoU"": 43.386242555457336, ""mAcc"": 52.4723805633167, ""aAcc"": 83.16420510022891, ""fwIoU"": 72.63116090782971}, ""cloudy"": {""mIoU"": 30.03195900544342, ""mAcc"": 40.406025683952265, ""aAcc"": 83.48197023361477, ""fwIoU"": 74.94101405981645}, ""dawn_dusk"": {""mIoU"": 26.88891481539451, ""mAcc"": 35.86521101578128, ""aAcc"": 84.65133300606348, ""fwIoU"": 75.88180228845485}, ""foggy"": {""mIoU"": 21.013600956088705, ""mAcc"": 30.036566294164103, ""aAcc"": 80.26685200818694, ""fwIoU"": 71.1052265945936}, ""night"": {""mIoU"": 20.96834296839557, ""mAcc"": 28.459733464266556, ""aAcc"": 74.25771477158558, ""fwIoU"": 61.62560748384881}, ""rainy"": {""mIoU"": 22.894428260460497, ""mAcc"": 28.94015855468288, ""aAcc"": 80.5040179198483, ""fwIoU"": 69.62683024162085}, ""snowy"": {""mIoU"": 19.83037768746159, ""mAcc"": 27.7829378971288, ""aAcc"": 73.16923708603218, ""fwIoU"": 58.654873245815864}}",20260116_024558
baseline,baseline,,,idd-aw,pspnet_r50,test_results_detailed,detailed,36.641283153480735,45.9200805699466,82.61927522895783,71.90434179898027,True,True,"{""clear_day"": {""mIoU"": 42.34930341395946, ""mAcc"": 51.52403509961798, ""aAcc"": 82.55636135162445, ""fwIoU"": 71.7504446083298}, ""cloudy"": {""mIoU"": 30.3282314544079, ""mAcc"": 40.65550333875969, ""aAcc"": 86.51987483824554, ""fwIoU"": 78.50805519663841}, ""dawn_dusk"": {""mIoU"": 27.039432570437345, ""mAcc"": 37.7585920800319, ""aAcc"": 84.81498055658044, ""fwIoU"": 75.9425927662131}, ""foggy"": {""mIoU"": 23.13730823715709, ""mAcc"": 32.50183919589276, ""aAcc"": 84.60896387676844, ""fwIoU"": 75.98254145841126}, ""night"": {""mIoU"": 20.38498683879054, ""mAcc"": 29.22315083117539, ""aAcc"": 74.13888187471021, ""fwIoU"": 60.354055894918176}, ""rainy"": {""mIoU"": 23.862485563066794, ""mAcc"": 30.774456124118384, ""aAcc"": 80.03246167066334, ""fwIoU"": 68.58256320774832}, ""snowy"": {""mIoU"": 21.129949131831143, ""mAcc"": 29.90916252793159, ""aAcc"": 74.16488964622388, ""fwIoU"": 59.6819980674737}}",20260116_024344
baseline,baseline,,,idd-aw,segformer_mit-b5,test_results_detailed,detailed,42.046937255069466,51.97526102849201,85.65510100347873,76.47781399913637,True,True,"{""clear_day"": {""mIoU"": 46.04313047875631, ""mAcc"": 55.8593896592113, ""aAcc"": 84.19759954391834, ""fwIoU"": 74.17754907498087}, ""cloudy"": {""mIoU"": 38.196182843276645, ""mAcc"": 48.278490009507294, ""aAcc"": 90.73305680818784, ""fwIoU"": 84.6040615002753}, ""dawn_dusk"": {""mIoU"": 39.15918973558356, ""mAcc"": 48.477540307913664, ""aAcc"": 89.35686474774228, ""fwIoU"": 82.04274504130315}, ""foggy"": {""mIoU"": 34.8704674542274, ""mAcc"": 45.467010709940276, ""aAcc"": 91.20018104678293, ""fwIoU"": 85.2309805054728}, ""night"": {""mIoU"": 34.344264786018464, ""mAcc"": 45.173039063954725, ""aAcc"": 84.4746961194911, ""fwIoU"": 74.634288041892}, ""rainy"": {""mIoU"": 30.216036496513127, ""mAcc"": 40.606846956554, ""aAcc"": 81.96850070962981, ""fwIoU"": 71.7393390063888}, ""snowy"": {""mIoU"": 28.649601916951546, ""mAcc"": 43.44710811030167, ""aAcc"": 77.34871798573312, ""fwIoU"": 64.406633186345}}",20260116_024213
baseline,baseline,,,mapillaryvistas,deeplabv3plus_r50,test_results_detailed,detailed,45.07661109619968,54.79577616011181,90.14992796679144,83.39867058236239,True,True,"{""clear_day"": {""mIoU"": 45.74059435309819, ""mAcc"": 54.49681374413677, ""aAcc"": 90.34623569093753, ""fwIoU"": 83.6514652570081}, ""cloudy"": {""mIoU"": 45.058670754147016, ""mAcc"": 56.644062315451215, ""aAcc"": 90.29080753933121, ""fwIoU"": 83.63924589600003}, ""dawn_dusk"": {""mIoU"": 43.66415192225809, ""mAcc"": 51.13128952778503, ""aAcc"": 86.57651674028133, ""fwIoU"": 77.56068270283566}, ""foggy"": {""mIoU"": 55.81316817367144, ""mAcc"": 64.0265708598428, ""aAcc"": 88.87557218002885, ""fwIoU"": 81.50481151226118}, ""night"": {""mIoU"": 41.08708331738553, ""mAcc"": 48.20117971035921, ""aAcc"": 87.69484816252668, ""fwIoU"": 81.71272828658128}, ""rainy"": {""mIoU"": 43.16654266214298, ""mAcc"": 53.365237193244916, ""aAcc"": 89.30443267217917, ""fwIoU"": 82.26243747298909}, ""snowy"": {""mIoU"": 43.080570364665164, ""mAcc"": 52.74618138253294, ""aAcc"": 88.33331331911752, ""fwIoU"": 80.84642649711738}}",20260114_190347
baseline,baseline,,,mapillaryvistas,pspnet_r50,test_results_detailed,detailed,44.91427967304013,52.606738082325855,90.08747057172165,83.07871981067694,True,True,"{""clear_day"": {""mIoU"": 46.07164778276234, ""mAcc"": 53.14403224634082, ""aAcc"": 90.28403299955666, ""fwIoU"": 83.3767636092902}, ""cloudy"": {""mIoU"": 44.393477660820466, ""mAcc"": 52.55147411922263, ""aAcc"": 90.19632292044668, ""fwIoU"": 83.26745267768595}, ""dawn_dusk"": {""mIoU"": 44.514262951729464, ""mAcc"": 51.440238637165855, ""aAcc"": 86.66165134986916, ""fwIoU"": 77.24890256566171}, ""foggy"": {""mIoU"": 46.31827712868198, ""mAcc"": 56.44502681401974, ""aAcc"": 88.07942978382883, ""fwIoU"": 80.33260905009938}, ""night"": {""mIoU"": 41.78554261384783, ""mAcc"": 48.579211279660434, ""aAcc"": 88.88683467015568, ""fwIoU"": 82.3735373414016}, ""rainy"": {""mIoU"": 41.116291399606055, ""mAcc"": 50.64844623843715, ""aAcc"": 88.74829100439518, ""fwIoU"": 81.22056959862628}, ""snowy"": {""mIoU"": 39.23376483386912, ""mAcc"": 45.92384688572728, ""aAcc"": 88.33623682421286, ""fwIoU"": 80.03590027197474}}",20260112_194504
baseline,baseline,,,mapillaryvistas,segformer_mit-b5,test_results_detailed,detailed,51.00322027065627,59.72552524302176,91.2618217759824,84.91293656808035,True,True,"{""clear_day"": {""mIoU"": 51.961408466453065, ""mAcc"": 60.31312124477001, ""aAcc"": 91.45843180257543, ""fwIoU"": 85.22485715491072}, ""cloudy"": {""mIoU"": 47.71908345648363, ""mAcc"": 57.49310368453882, ""aAcc"": 91.14904289370311, ""fwIoU"": 84.80561943956317}, ""dawn_dusk"": {""mIoU"": 48.830046796415, ""mAcc"": 57.06736839192502, ""aAcc"": 87.1935765068783, ""fwIoU"": 78.00249720816788}, ""foggy"": {""mIoU"": 55.144975998582865, ""mAcc"": 64.8725759856144, ""aAcc"": 89.53052789228516, ""fwIoU"": 82.05481499230916}, ""night"": {""mIoU"": 50.33601619087289, ""mAcc"": 58.61079004576394, ""aAcc"": 91.41088512916176, ""fwIoU"": 85.45433051798005}, ""rainy"": {""mIoU"": 45.322540303067534, ""mAcc"": 53.594229924557766, ""aAcc"": 89.95296041589393, ""fwIoU"": 82.86335945853254}, ""snowy"": {""mIoU"": 50.0577434349185, ""mAcc"": 58.723005601825385, ""aAcc"": 90.55261108318652, ""fwIoU"": 83.50270077254973}}",20260112_194519
baseline,baseline,,,outside15k,deeplabv3plus_r50,test_results_detailed,detailed,26.52024269324657,34.45223473736637,68.90220931428159,56.892789883627124,True,True,"{""clear_day"": {""mIoU"": 29.626390836613204, ""mAcc"": 37.660347529847826, ""aAcc"": 74.18246029053425, ""fwIoU"": 62.88421866220089}, ""cloudy"": {""mIoU"": 24.472848900592837, ""mAcc"": 33.28788124817954, ""aAcc"": 69.47219234773483, ""fwIoU"": 59.409779732188554}, ""dawn_dusk"": {""mIoU"": 10.720295454098629, ""mAcc"": 19.25533164305633, ""aAcc"": 37.80484055027817, ""fwIoU"": 27.736400866633105}, ""foggy"": {""mIoU"": 29.224255000506698, ""mAcc"": 37.099450452520756, ""aAcc"": 63.952203699060384, ""fwIoU"": 51.71912533188129}, ""night"": {""mIoU"": 14.966458972435518, ""mAcc"": 21.39273346515507, ""aAcc"": 55.50361720994971, ""fwIoU"": 45.01656698717994}, ""rainy"": {""mIoU"": 22.615375180257963, ""mAcc"": 31.296952344128087, ""aAcc"": 53.4031351407369, ""fwIoU"": 38.941660635927455}, ""snowy"": {""mIoU"": 18.842554836786633, ""mAcc"": 27.226495799701823, ""aAcc"": 52.13130699409233, ""fwIoU"": 38.22007812136318}}",20260110_122017
