strategy,dataset,model,test_type,result_type,result_dir,timestamp,mIoU,mAcc,aAcc,fwIoU,num_images,has_per_domain,has_per_class,per_domain_metrics
baseline,cityscapes,mask2former_swin-b,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/mask2former_swin-b/test_results_acdc/20260208_203921,20260208_203921,51.1145071608296,68.95804856863714,84.8745137259027,74.67259862171667,2003,True,True,"{'foggy': {'mIoU': 65.2351393367111, 'mAcc': 80.6728488334168, 'aAcc': 93.67214152241095, 'fwIoU': 88.75538158712405}, 'night': {'mIoU': 34.029097440286314, 'mAcc': 54.73128498795221, 'aAcc': 67.4882777270708, 'fwIoU': 50.48642661494552}, 'rainy': {'mIoU': 53.77453250716787, 'mAcc': 74.50605814447087, 'aAcc': 90.66693403312638, 'fwIoU': 84.50481826661681}, 'snowy': {'mIoU': 51.034329355283134, 'mAcc': 66.90801454515841, 'aAcc': 87.28373296858395, 'fwIoU': 78.44843263235606}}"
baseline,cityscapes,mask2former_swin-b,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/mask2former_swin-b/test_results_detailed/20260209_110247,20260209_110247,68.98384624761309,80.92540601523439,94.62894423802182,90.5112307202046,500,True,True,"{'frankfurt': {'mIoU': 67.30946718802254, 'mAcc': 79.58961926428599, 'aAcc': 93.76694023468372, 'fwIoU': 89.12904641024964}, 'lindau': {'mIoU': 63.90229056831882, 'mAcc': 75.04106286968306, 'aAcc': 95.05246320747978, 'fwIoU': 91.00333382359055}, 'munster': {'mIoU': 68.86525285840081, 'mAcc': 81.2800905859348, 'aAcc': 95.73622041009494, 'fwIoU': 92.46460336683826}}"
baseline,cityscapes,pspnet_r50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/pspnet_r50/test_results_acdc/20260208_162221,20260208_162221,36.3595749291436,50.50802590686941,77.62463510182009,66.0063967529268,2003,True,True,"{'foggy': {'mIoU': 51.629511802217955, 'mAcc': 65.50732900201979, 'aAcc': 88.12218079037405, 'fwIoU': 80.40467388826028}, 'night': {'mIoU': 20.585768835427494, 'mAcc': 35.56381027410354, 'aAcc': 56.84905363973846, 'fwIoU': 41.681979065639155}, 'rainy': {'mIoU': 40.38915954196181, 'mAcc': 53.54457581055565, 'aAcc': 83.83275730776337, 'fwIoU': 75.7638488377384}, 'snowy': {'mIoU': 37.80546519337001, 'mAcc': 49.65918919444244, 'aAcc': 81.21540307568323, 'fwIoU': 69.36318638449121}}"
baseline,cityscapes,pspnet_r50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/pspnet_r50/test_results_detailed/20260209_213612,20260209_213612,57.56964951452495,66.7951904282909,91.91639057540351,85.8791299490742,500,True,True,"{'frankfurt': {'mIoU': 54.745162527549176, 'mAcc': 64.31390759420269, 'aAcc': 90.66209950767889, 'fwIoU': 83.91452733587707}, 'lindau': {'mIoU': 53.59239220554778, 'mAcc': 65.49661043301498, 'aAcc': 91.6029111189954, 'fwIoU': 85.43816975656178}, 'munster': {'mIoU': 58.694907707488106, 'mAcc': 67.35129168922508, 'aAcc': 93.8089216410113, 'fwIoU': 89.04573871298265}}"
baseline,cityscapes,segformer_mit-b3,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/segformer_mit-b3/test_results_acdc/20260208_004458,20260208_004458,45.59974897469183,58.435703765330295,82.55634624744084,71.43958338120441,2003,True,True,"{'foggy': {'mIoU': 59.76258469233038, 'mAcc': 70.35019812987365, 'aAcc': 91.1011084567865, 'fwIoU': 84.60664080762938}, 'night': {'mIoU': 29.170807084311445, 'mAcc': 41.844411232198745, 'aAcc': 66.38919030050864, 'fwIoU': 48.65257580022702}, 'rainy': {'mIoU': 47.72511747293677, 'mAcc': 63.1341690629013, 'aAcc': 86.5919965728481, 'fwIoU': 79.37525009899609}, 'snowy': {'mIoU': 45.57724889057649, 'mAcc': 57.240968695888185, 'aAcc': 85.7545323330997, 'fwIoU': 76.25285549440778}}"
baseline,cityscapes,segformer_mit-b3,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/segformer_mit-b3/test_results_detailed/20260209_172257,20260209_172257,63.38091431288556,72.4497884604692,93.36079072309609,88.25711377404329,500,True,True,"{'frankfurt': {'mIoU': 60.894516333563175, 'mAcc': 70.36426902384862, 'aAcc': 92.34312474828901, 'fwIoU': 86.63837954088895}, 'lindau': {'mIoU': 59.72092963424698, 'mAcc': 68.63643508086453, 'aAcc': 93.14414190777669, 'fwIoU': 87.80700522061625}, 'munster': {'mIoU': 63.09541883727885, 'mAcc': 70.99494975889944, 'aAcc': 94.8848851835096, 'fwIoU': 90.89120432829935}}"
baseline,cityscapes,segnext_mscan-b,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/segnext_mscan-b/test_results_acdc/20260208_154725,20260208_154725,44.883641611174376,59.35308120497322,83.13923589168287,72.69330330270837,2003,True,True,"{'foggy': {'mIoU': 60.574169391202695, 'mAcc': 72.62565859303139, 'aAcc': 92.03498859178988, 'fwIoU': 86.050557438539}, 'night': {'mIoU': 29.869153178061048, 'mAcc': 44.3208333290477, 'aAcc': 67.48662503330308, 'fwIoU': 51.10370148777822}, 'rainy': {'mIoU': 43.441145981532166, 'mAcc': 60.86055194327623, 'aAcc': 85.667335911431, 'fwIoU': 78.69093125944615}, 'snowy': {'mIoU': 46.0216206606199, 'mAcc': 59.564011345950405, 'aAcc': 86.96437303998427, 'fwIoU': 78.09629279051737}}"
baseline,cityscapes,segnext_mscan-b,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/baseline/cityscapes/segnext_mscan-b/test_results_detailed/20260209_110420,20260209_110420,64.32790747914798,73.39421031683835,93.45056410900769,88.43158305117845,500,True,True,"{'frankfurt': {'mIoU': 61.62679504095989, 'mAcc': 70.79824054244901, 'aAcc': 92.25445448657092, 'fwIoU': 86.50680613358692}, 'lindau': {'mIoU': 60.02900501384724, 'mAcc': 69.64575301926023, 'aAcc': 93.90991096231814, 'fwIoU': 89.06466375221248}, 'munster': {'mIoU': 64.83646254379532, 'mAcc': 73.2705309111963, 'aAcc': 95.02584366151058, 'fwIoU': 91.11758474357073}}"
gen_Attribute_Hallucination,cityscapes,mask2former_swin-b_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_Attribute_Hallucination/cityscapes/mask2former_swin-b_ratio0p50/test_results_acdc/20260210_015031,20260210_015031,51.878879838877445,70.3595019802373,85.57427970157217,75.63045218093157,2003,True,True,"{'foggy': {'mIoU': 66.11070345146058, 'mAcc': 80.05376784273675, 'aAcc': 93.62213957670842, 'fwIoU': 88.64383953053391}, 'night': {'mIoU': 36.07199489221064, 'mAcc': 58.0281051854641, 'aAcc': 69.79760440321178, 'fwIoU': 53.489968020078734}, 'rainy': {'mIoU': 52.43053947160015, 'mAcc': 73.5601211088581, 'aAcc': 90.51474147624403, 'fwIoU': 84.27913319708183}, 'snowy': {'mIoU': 53.37983217737302, 'mAcc': 70.28085312315962, 'aAcc': 88.0046209825937, 'fwIoU': 79.46841833856409}}"
gen_Attribute_Hallucination,cityscapes,mask2former_swin-b_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_Attribute_Hallucination/cityscapes/mask2former_swin-b_ratio0p50/test_results_detailed/20260210_015021,20260210_015021,,,,,0,False,False,
