strategy,dataset,model,test_type,result_type,result_dir,timestamp,mIoU,mAcc,aAcc,fwIoU,num_images,has_per_domain,has_per_class,per_domain_metrics
baseline,bdd10k,deeplabv3plus_r50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/deeplabv3plus_r50/test_results_detailed/20260130_205250,20260130_205250,30.79621103262288,40.75420044872555,82.29548913606558,75.38269462934755,1857,True,True,"{'clear_day': {'mIoU': 32.162921674153, 'mAcc': 42.369753009445134, 'aAcc': 83.53182023520392, 'fwIoU': 76.56767247439328}, 'cloudy': {'mIoU': 36.01674630279915, 'mAcc': 44.79822750999276, 'aAcc': 90.78109182429385, 'fwIoU': 85.32254924921497}, 'dawn_dusk': {'mIoU': 27.943811013332187, 'mAcc': 39.01967035510651, 'aAcc': 84.60309514571323, 'fwIoU': 78.16615388989653}, 'foggy': {'mIoU': 42.6682373315914, 'mAcc': 54.44466877790873, 'aAcc': 93.24857793414108, 'fwIoU': 89.99346493964825}, 'night': {'mIoU': 16.3558603083858, 'mAcc': 24.534334359013073, 'aAcc': 55.99427884833709, 'fwIoU': 48.03852873707546}, 'rainy': {'mIoU': 26.512959906171734, 'mAcc': 36.45232976760211, 'aAcc': 73.6915248909231, 'fwIoU': 66.51432761925227}, 'snowy': {'mIoU': 35.66181304108225, 'mAcc': 47.20392110310618, 'aAcc': 83.18396164117277, 'fwIoU': 76.26929177016261}}"
baseline,bdd10k,deeplabv3plus_r50_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/deeplabv3plus_r50_ratio1p0/test_results_detailed/20260202_112425,20260202_112425,43.79773096304014,50.840758941899324,91.13270166139958,84.33418365722325,1857,True,True,"{'clear_day': {'mIoU': 44.268786416143676, 'mAcc': 51.81336550937618, 'aAcc': 91.3201922801771, 'fwIoU': 84.70472368600832}, 'cloudy': {'mIoU': 47.97283730093366, 'mAcc': 54.491187575605046, 'aAcc': 94.19412249383711, 'fwIoU': 89.58567293141759}, 'dawn_dusk': {'mIoU': 37.63868250108058, 'mAcc': 43.762874424865366, 'aAcc': 91.5260142511563, 'fwIoU': 85.21843791468793}, 'foggy': {'mIoU': 51.1341867888497, 'mAcc': 64.81525323312192, 'aAcc': 95.96262761602577, 'fwIoU': 93.42237647067418}, 'night': {'mIoU': 30.208518049732557, 'mAcc': 36.37340296448435, 'aAcc': 80.92606325336469, 'fwIoU': 68.2400929689218}, 'rainy': {'mIoU': 43.31495121910131, 'mAcc': 50.101699819099096, 'aAcc': 89.93782091556025, 'fwIoU': 82.29160996300486}, 'snowy': {'mIoU': 48.61166039963473, 'mAcc': 55.85495268699804, 'aAcc': 91.45844076095374, 'fwIoU': 84.92544733815949}}"
baseline,bdd10k,hrnet_hr48_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/hrnet_hr48_ratio1p0/test_results_detailed/20260202_112503,20260202_112503,42.43343857466256,49.18480330012429,90.55055282315534,83.40553646836561,1857,True,True,"{'clear_day': {'mIoU': 42.71600275939457, 'mAcc': 49.7407163694493, 'aAcc': 90.71547178133747, 'fwIoU': 83.72333400323339}, 'cloudy': {'mIoU': 46.78482600347834, 'mAcc': 53.174287030857805, 'aAcc': 93.71907382482843, 'fwIoU': 88.79830059566194}, 'dawn_dusk': {'mIoU': 38.49774499910904, 'mAcc': 45.074062218224526, 'aAcc': 91.38444795160251, 'fwIoU': 84.82542082666441}, 'foggy': {'mIoU': 47.85316240789228, 'mAcc': 55.59053340556422, 'aAcc': 95.84590313512092, 'fwIoU': 93.0031711877257}, 'night': {'mIoU': 30.43238547080681, 'mAcc': 36.48353819363411, 'aAcc': 80.22180449306249, 'fwIoU': 67.37316524812287}, 'rainy': {'mIoU': 41.869323800882555, 'mAcc': 48.443243732534555, 'aAcc': 89.56867415260774, 'fwIoU': 81.84523062855476}, 'snowy': {'mIoU': 46.320704104168115, 'mAcc': 53.82251267079303, 'aAcc': 90.50731264615641, 'fwIoU': 83.42465955371677}}"
baseline,bdd10k,mask2former_swin-b,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/mask2former_swin-b/test_results_detailed/20260205_003629,20260205_003629,50.515261386974416,59.870094628554405,92.21953657729057,86.35151679581939,1857,True,True,"{'clear_day': {'mIoU': 51.48949194859329, 'mAcc': 61.513054517601674, 'aAcc': 92.26928229548848, 'fwIoU': 86.47946154350011}, 'cloudy': {'mIoU': 52.349086484000615, 'mAcc': 61.74666998490799, 'aAcc': 94.73042164170133, 'fwIoU': 90.68991600943325}, 'dawn_dusk': {'mIoU': 45.96679599953812, 'mAcc': 56.74971043775411, 'aAcc': 92.745049837898, 'fwIoU': 87.37004936304331}, 'foggy': {'mIoU': 54.40285929949196, 'mAcc': 67.19972609241339, 'aAcc': 96.44103358705837, 'fwIoU': 94.62495421479619}, 'night': {'mIoU': 34.68372436040245, 'mAcc': 42.801619945357636, 'aAcc': 83.20697977798478, 'fwIoU': 71.98931790880962}, 'rainy': {'mIoU': 50.08741653738159, 'mAcc': 60.902948666984905, 'aAcc': 92.02003945116212, 'fwIoU': 86.01963238476328}, 'snowy': {'mIoU': 58.091913340655175, 'mAcc': 70.4375557914565, 'aAcc': 92.44500066565739, 'fwIoU': 86.83799927273205}}"
baseline,bdd10k,pspnet_r50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/pspnet_r50/test_results_detailed/20260130_155254,20260130_155254,37.047298112255525,43.90134905000081,87.791453956522,79.28486078998898,1857,True,True,"{'clear_day': {'mIoU': 38.03784485171662, 'mAcc': 45.002338407510045, 'aAcc': 88.06031078823071, 'fwIoU': 79.69649640777392}, 'cloudy': {'mIoU': 42.696980761826474, 'mAcc': 48.89867657269156, 'aAcc': 92.28268336384942, 'fwIoU': 86.4525033335106}, 'dawn_dusk': {'mIoU': 33.50947549790011, 'mAcc': 39.85821897139277, 'aAcc': 89.39235866128183, 'fwIoU': 82.02167887829455}, 'foggy': {'mIoU': 45.86259617630108, 'mAcc': 56.853492565553786, 'aAcc': 94.24320203199237, 'fwIoU': 91.40926034779247}, 'night': {'mIoU': 22.660179722207687, 'mAcc': 29.113481902350735, 'aAcc': 74.86876632286645, 'fwIoU': 60.378283030073064}, 'rainy': {'mIoU': 33.91338578999352, 'mAcc': 41.175550299912146, 'aAcc': 85.67886856912646, 'fwIoU': 76.44126331347451}, 'snowy': {'mIoU': 42.27539663917067, 'mAcc': 51.61918499330744, 'aAcc': 87.37108575124803, 'fwIoU': 78.64309248616577}}"
baseline,bdd10k,pspnet_r50_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/pspnet_r50_ratio1p0/test_results_detailed/20260202_112503,20260202_112503,43.483655160622206,50.44301228530227,90.86973828131632,83.89255918096224,1857,True,True,"{'clear_day': {'mIoU': 44.575845625044096, 'mAcc': 52.098586983588746, 'aAcc': 91.07705136901504, 'fwIoU': 84.27159828784532}, 'cloudy': {'mIoU': 47.25590497944886, 'mAcc': 53.77165375490404, 'aAcc': 93.95021341901254, 'fwIoU': 89.1487268294653}, 'dawn_dusk': {'mIoU': 37.54007488108298, 'mAcc': 43.51072736853462, 'aAcc': 91.39231382435142, 'fwIoU': 84.90361306461816}, 'foggy': {'mIoU': 50.295233590637864, 'mAcc': 58.28408298925125, 'aAcc': 96.01461933023164, 'fwIoU': 93.45083558133759}, 'night': {'mIoU': 29.29050865624283, 'mAcc': 35.58872347529623, 'aAcc': 80.3429614746265, 'fwIoU': 67.48398432166938}, 'rainy': {'mIoU': 41.867789562332476, 'mAcc': 48.72503134520406, 'aAcc': 89.73811693757698, 'fwIoU': 82.07073077289937}, 'snowy': {'mIoU': 48.28072980300477, 'mAcc': 55.991463384531606, 'aAcc': 91.07749435781378, 'fwIoU': 84.28794870139274}}"
baseline,bdd10k,segformer_mit-b3,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/segformer_mit-b3/test_results_detailed/20260203_091132,20260203_091132,47.15965814896658,54.263370076365156,91.40051840120877,84.74936684620677,1857,True,True,"{'clear_day': {'mIoU': 47.482258261588825, 'mAcc': 55.080909792022496, 'aAcc': 91.60244074737767, 'fwIoU': 85.12138291790208}, 'cloudy': {'mIoU': 48.76300185404629, 'mAcc': 55.56094841641315, 'aAcc': 94.23686893477038, 'fwIoU': 89.6300087992919}, 'dawn_dusk': {'mIoU': 40.95378406850112, 'mAcc': 47.38913137895507, 'aAcc': 92.08070628064463, 'fwIoU': 85.9530318299137}, 'foggy': {'mIoU': 50.80214074064507, 'mAcc': 63.71619200129276, 'aAcc': 95.90755338911995, 'fwIoU': 93.39499614316769}, 'night': {'mIoU': 29.747267692901165, 'mAcc': 36.02290894302379, 'aAcc': 80.91274409858337, 'fwIoU': 68.21623492328575}, 'rainy': {'mIoU': 48.465372315705544, 'mAcc': 55.42755760892838, 'aAcc': 90.67485517597666, 'fwIoU': 83.46987691984388}, 'snowy': {'mIoU': 50.18393055063669, 'mAcc': 57.937250156160026, 'aAcc': 91.47532955341235, 'fwIoU': 85.0139710378497}}"
baseline,bdd10k,segformer_mit-b3_ratio1p0,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/segformer_mit-b3_ratio1p0/test_results_detailed/20260202_112610,20260202_112610,49.448341619209714,56.42321584192014,91.89272522705527,85.53520099777234,1857,True,True,"{'clear_day': {'mIoU': 50.58988336855993, 'mAcc': 58.22012912424, 'aAcc': 92.13280646203731, 'fwIoU': 85.97945492871553}, 'cloudy': {'mIoU': 51.29994255238838, 'mAcc': 58.07391326826211, 'aAcc': 94.5511329548919, 'fwIoU': 90.15634096995572}, 'dawn_dusk': {'mIoU': 41.08280709667609, 'mAcc': 47.64934959982898, 'aAcc': 92.1964622303209, 'fwIoU': 86.34420185774675}, 'foggy': {'mIoU': 63.89810581284726, 'mAcc': 74.87010510466531, 'aAcc': 97.19213918161343, 'fwIoU': 95.14705524765897}, 'night': {'mIoU': 32.43434196797813, 'mAcc': 38.35398765315893, 'aAcc': 82.1850050882101, 'fwIoU': 69.97270068233938}, 'rainy': {'mIoU': 48.329660725802334, 'mAcc': 55.02814472357507, 'aAcc': 90.93477339602454, 'fwIoU': 83.86403774392039}, 'snowy': {'mIoU': 57.70816324520415, 'mAcc': 66.45960230050896, 'aAcc': 92.0449061219896, 'fwIoU': 85.84159625316968}}"
baseline,bdd10k,segformer_mit-b5,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/segformer_mit-b5/test_results_detailed/20260130_134015,20260130_134015,48.14100203958553,54.7582466958621,91.71601683592513,85.21697719885273,1857,True,True,"{'clear_day': {'mIoU': 49.27424192757591, 'mAcc': 56.42261694671831, 'aAcc': 91.92128920719647, 'fwIoU': 85.57456394676177}, 'cloudy': {'mIoU': 53.1126856253404, 'mAcc': 59.37550135825633, 'aAcc': 94.67540644674284, 'fwIoU': 90.36501177805509}, 'dawn_dusk': {'mIoU': 41.84718736164894, 'mAcc': 48.7710303572749, 'aAcc': 92.19925240726762, 'fwIoU': 86.21185986858937}, 'foggy': {'mIoU': 59.026572089974884, 'mAcc': 69.81662597973569, 'aAcc': 97.30393164219836, 'fwIoU': 95.44957362519776}, 'night': {'mIoU': 30.106607280620583, 'mAcc': 36.212350998434644, 'aAcc': 81.22791902179259, 'fwIoU': 68.85543838257378}, 'rainy': {'mIoU': 46.676738657309116, 'mAcc': 53.24629097264728, 'aAcc': 90.83573301455881, 'fwIoU': 83.72480912163923}, 'snowy': {'mIoU': 55.03983272608739, 'mAcc': 62.73075780249702, 'aAcc': 91.83878422956496, 'fwIoU': 85.54573264902525}}"
baseline,bdd10k,segnext_mscan-b,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_STAGE_2/baseline/bdd10k/segnext_mscan-b/test_results_detailed/20260203_105814,20260203_105814,47.28828643455323,54.448698093859264,91.55981892529886,85.02986785963098,1857,True,True,"{'clear_day': {'mIoU': 47.86068652916768, 'mAcc': 55.6362675849012, 'aAcc': 91.66410210641301, 'fwIoU': 85.24826330692107}, 'cloudy': {'mIoU': 50.33113080676333, 'mAcc': 57.39617329744902, 'aAcc': 94.28564503802485, 'fwIoU': 89.73663117642975}, 'dawn_dusk': {'mIoU': 39.407659196339125, 'mAcc': 45.9260876835719, 'aAcc': 92.01513469615604, 'fwIoU': 85.9530931318307}, 'foggy': {'mIoU': 51.86700453444374, 'mAcc': 62.89577298143415, 'aAcc': 96.21714041461851, 'fwIoU': 93.67983487596298}, 'night': {'mIoU': 33.92845522601281, 'mAcc': 40.442912274051544, 'aAcc': 82.33573577681604, 'fwIoU': 70.58416774743802}, 'rainy': {'mIoU': 46.9679371929517, 'mAcc': 53.61959420309233, 'aAcc': 91.08308526935495, 'fwIoU': 84.14698689716359}, 'snowy': {'mIoU': 56.738233808757556, 'mAcc': 65.2698700886814, 'aAcc': 91.62365586458293, 'fwIoU': 85.20548560986649}}"
