strategy,dataset,model,has_clear_day,has_cloudy,has_dawn_dusk,has_foggy,has_night,has_rainy,has_snowy,normal_domains_present,adverse_domains_present,total_domains_present
baseline,bdd10k,mask2former_swin-b,True,True,True,True,True,True,True,2,5,7
baseline,bdd10k,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,bdd10k,segformer_mit-b3,True,True,True,True,True,True,True,2,5,7
baseline,bdd10k,segnext_mscan-b,True,True,True,True,True,True,True,2,5,7
baseline,iddaw,hrnet_hr48,True,True,True,True,True,True,True,2,5,7
baseline,iddaw,mask2former_swin-b,True,True,True,True,True,True,True,2,5,7
baseline,iddaw,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,iddaw,segformer_mit-b3,True,True,True,True,True,True,True,2,5,7
baseline,iddaw,segnext_mscan-b,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,hrnet_hr48,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,segformer_mit-b3,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,segnext_mscan-b,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,hrnet_hr48,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,segformer_mit-b3,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,segnext_mscan-b,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,iddaw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,iddaw,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,iddaw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,iddaw,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,outside15k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,outside15k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,outside15k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,bdd10k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,iddaw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,iddaw,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,outside15k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,outside15k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CUT,outside15k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,bdd10k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,iddaw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,iddaw,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,outside15k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,outside15k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_IP2P,outside15k,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Img2Img,outside15k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,bdd10k,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,bdd10k,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,iddaw,mask2former_swin-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,iddaw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,iddaw,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,iddaw,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,mapillaryvistas,segformer_mit-b3_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_LANIT,mapillaryvistas,segnext_mscan-b_ratio0p50,True,True,True,True,True,True,True,2,5,7
