Strategy,Type,mIoU,Std,Gain,Normal mIoU,Adverse mIoU,Domain Gap,Num Tests
gen_Attribute_Hallucination,Generative,42.56,5.79,2.9,43.08,37.54,5.54,6
gen_UniControl,Generative,42.51,5.6,2.84,43.2,37.78,5.42,6
gen_VisualCloze,Generative,42.46,5.85,2.8,43.3,38.16,5.13,6
gen_automold,Generative,42.45,5.4,2.79,43.23,37.5,5.74,6
gen_CNetSeg,Generative,42.44,5.57,2.78,43.19,37.55,5.64,6
gen_Qwen_Image_Edit,Generative,42.38,5.36,2.72,43.13,37.57,5.56,6
gen_stargan_v2,Generative,42.32,5.81,2.66,43.26,37.33,5.94,6
std_autoaugment,Standard Aug,42.25,5.31,2.59,42.62,37.67,4.95,6
gen_IP2P,Generative,42.23,5.22,2.56,43.11,37.23,5.88,6
gen_SUSTechGAN,Generative,42.17,5.3,2.5,42.94,37.27,5.67,6
gen_augmenters,Generative,42.14,5.17,2.48,42.96,37.18,5.78,6
std_mixup,Standard Aug,42.11,5.26,2.45,42.99,37.15,5.84,6
std_randaugment,Standard Aug,42.05,5.15,2.38,42.76,37.23,5.53,6
gen_Weather_Effect_Generator,Generative,41.94,5.0,2.28,42.94,37.15,5.79,6
gen_CUT,Generative,41.9,4.87,2.24,42.74,37.11,5.63,6
gen_cyclediffusion,Generative,41.86,5.21,2.2,42.92,37.49,5.43,6
std_cutmix,Standard Aug,41.63,5.84,1.96,42.57,36.89,5.68,6
gen_Img2Img,Generative,41.58,4.49,1.91,42.3,36.87,5.43,6
gen_albumentations_weather,Generative,41.46,4.54,1.8,42.14,36.86,5.28,6
gen_cycleGAN,Generative,41.15,4.89,1.48,42.1,36.39,5.71,6
gen_LANIT,Generative,41.15,5.05,1.48,42.13,36.51,5.62,6
gen_flux_kontext,Generative,41.14,4.54,1.48,42.03,36.22,5.81,6
gen_step1x_new,Generative,41.1,4.96,1.43,42.1,36.42,5.68,6
gen_TSIT,Generative,40.98,8.13,1.31,41.82,36.19,5.63,6
gen_step1x_v1p2,Generative,40.72,4.08,1.06,41.44,36.16,5.28,6
baseline,Baseline,39.67,8.62,,40.4,34.76,5.64,6
