dataset,model,model_type,domain,mIoU,aAcc,fwIoU,num_images
bdd10k,deeplabv3plus_r50,clear_day,clear_day,50.515780713306604,96.42231120619297,93.29505770253257,1016
bdd10k,deeplabv3plus_r50,clear_day,cloudy,56.49390974459229,98.19984821057821,96.54206244860958,230
bdd10k,deeplabv3plus_r50,clear_day,dawn_dusk,44.67664076393092,97.1347279349952,94.60458323259657,94
bdd10k,deeplabv3plus_r50,clear_day,foggy,91.84272254171236,98.7965783508076,97.62216546763418,4
bdd10k,deeplabv3plus_r50,clear_day,night,33.431905298898165,83.93063774773549,72.43358667418025,92
bdd10k,deeplabv3plus_r50,clear_day,rainy,46.41583182052093,94.13006436790819,89.01584241105782,200
bdd10k,deeplabv3plus_r50,clear_day,snowy,53.618538074079694,97.42156299845267,95.12309279170034,221
bdd10k,pspnet_r50,clear_day,clear_day,56.47534223613757,96.89902513655494,94.14064725754257,1016
bdd10k,pspnet_r50,clear_day,cloudy,60.60477716932605,98.2283488291899,96.5905472841601,230
bdd10k,pspnet_r50,clear_day,dawn_dusk,49.369168067004516,97.09426609615716,94.4788321330034,94
bdd10k,pspnet_r50,clear_day,foggy,99.17778684854297,99.46691697364692,98.93909568225241,4
bdd10k,pspnet_r50,clear_day,night,46.08901711235843,93.32664554536983,87.72867214788562,92
bdd10k,pspnet_r50,clear_day,rainy,48.69534589067333,94.7214352711055,90.3179488025448,200
bdd10k,pspnet_r50,clear_day,snowy,60.043837811594244,98.07271124971813,96.28301827335318,221
bdd10k,segformer_mit-b5,clear_day,clear_day,64.80685783906948,97.2745950038087,94.78158662496597,1016
bdd10k,segformer_mit-b5,clear_day,cloudy,68.62256437637639,98.10550223214382,96.46967814076757,230
bdd10k,segformer_mit-b5,clear_day,dawn_dusk,55.587518145587175,97.98578859633558,96.23841399518052,94
bdd10k,segformer_mit-b5,clear_day,foggy,98.66695557203732,99.72814536695948,99.45804294634301,4
bdd10k,segformer_mit-b5,clear_day,night,50.183331978350076,94.71780769551825,90.11491760365895,92
bdd10k,segformer_mit-b5,clear_day,rainy,61.54522334238275,96.51920368772116,93.37201885297702,200
bdd10k,segformer_mit-b5,clear_day,snowy,76.21383748491849,98.66963611976671,97.40543401276116,221
idd-aw,deeplabv3plus_r50,clear_day,clear_day,75.7453328931176,98.11958425516526,96.49315595651429,1650
idd-aw,deeplabv3plus_r50,clear_day,cloudy,71.76490410623182,97.94926897086981,96.20934426810878,416
idd-aw,deeplabv3plus_r50,clear_day,dawn_dusk,58.028620997169654,98.97987402329301,98.18888094666778,112
idd-aw,deeplabv3plus_r50,clear_day,foggy,62.90709564834557,98.11805501893485,96.58260091472943,290
idd-aw,deeplabv3plus_r50,clear_day,night,59.79756736354764,97.3525304199885,95.29381966134164,93
idd-aw,deeplabv3plus_r50,clear_day,rainy,57.46045102257029,97.54318801427392,95.4047140845808,204
idd-aw,deeplabv3plus_r50,clear_day,snowy,47.308847641191086,97.5179689703912,95.78350679140304,163
idd-aw,pspnet_r50,clear_day,clear_day,79.37723986584297,98.22406212106075,96.67362887663202,1650
idd-aw,pspnet_r50,clear_day,cloudy,72.06482178903835,97.5716419160436,95.4918979726559,416
idd-aw,pspnet_r50,clear_day,dawn_dusk,58.05317499460929,98.75184361884766,97.73258870508813,112
idd-aw,pspnet_r50,clear_day,foggy,64.67913471729835,97.0413792478235,94.64951305158114,290
idd-aw,pspnet_r50,clear_day,night,60.24836059294676,96.59808298641896,94.02127962971426,93
idd-aw,pspnet_r50,clear_day,rainy,58.15510581701071,97.5454325322662,95.3845712574833,204
idd-aw,pspnet_r50,clear_day,snowy,52.78487246314588,97.86024843634672,96.17242481558472,163
idd-aw,segformer_mit-b5,clear_day,clear_day,82.51292840315794,98.42085313825048,97.03816615043954,1650
idd-aw,segformer_mit-b5,clear_day,cloudy,74.622984800228,98.3979848047086,97.03145888635726,416
idd-aw,segformer_mit-b5,clear_day,dawn_dusk,68.00870613482203,99.35182706150641,98.79059278309339,112
idd-aw,segformer_mit-b5,clear_day,foggy,73.517932138963,98.87002430298188,97.9267275477663,290
idd-aw,segformer_mit-b5,clear_day,night,69.0901993505238,98.39933750677528,96.99392834117285,93
idd-aw,segformer_mit-b5,clear_day,rainy,65.21140451976872,98.4196925111455,97.06015637498837,204
idd-aw,segformer_mit-b5,clear_day,snowy,60.7216904097986,98.1699519839889,96.949923293215,163
mapillaryvistas,deeplabv3plus_r50,clear_day,clear_day,24.681692550675994,53.389782563599674,36.15259132135611,3226
mapillaryvistas,deeplabv3plus_r50,clear_day,cloudy,18.464524163647056,44.12202300148782,32.17625208660913,1248
mapillaryvistas,deeplabv3plus_r50,clear_day,dawn_dusk,41.27069782819119,95.25477149360883,92.25895291818458,48
mapillaryvistas,deeplabv3plus_r50,clear_day,foggy,73.875,73.875,73.875,27
mapillaryvistas,deeplabv3plus_r50,clear_day,night,46.60928745725555,88.94697535474234,81.18077466975674,81
mapillaryvistas,deeplabv3plus_r50,clear_day,rainy,26.239919878636364,56.23237262395487,39.59335072640385,166
mapillaryvistas,deeplabv3plus_r50,clear_day,snowy,16.698379389926725,39.925590895827256,28.036340015790707,153
mapillaryvistas,pspnet_r50,clear_day,clear_day,33.4478565381217,66.32238808017185,49.80273843907342,3226
mapillaryvistas,pspnet_r50,clear_day,cloudy,32.57396639049264,67.8906614828249,55.300971765707764,1248
mapillaryvistas,pspnet_r50,clear_day,dawn_dusk,36.533030966003025,90.26440203116792,87.00490783814696,48
mapillaryvistas,pspnet_r50,clear_day,foggy,100.0,100.0,100.0,27
mapillaryvistas,pspnet_r50,clear_day,night,34.94679801606351,78.10620651703942,67.56825126175434,81
mapillaryvistas,pspnet_r50,clear_day,rainy,46.43017666845528,82.7556282438544,71.33400874741685,166
mapillaryvistas,pspnet_r50,clear_day,snowy,27.77353965423157,61.0701779982492,48.66160428511467,153
mapillaryvistas,segformer_mit-b5,clear_day,clear_day,67.51855601295179,93.33401337569026,87.52880358172847,3226
mapillaryvistas,segformer_mit-b5,clear_day,cloudy,70.58758750920168,94.69836339744356,90.37623877053056,1248
mapillaryvistas,segformer_mit-b5,clear_day,dawn_dusk,44.413038556496446,95.02714060584836,92.39195852979739,48
mapillaryvistas,segformer_mit-b5,clear_day,foggy,100.0,100.0,100.0,27
mapillaryvistas,segformer_mit-b5,clear_day,night,59.6651832637887,96.48991784914115,93.49928614984866,81
mapillaryvistas,segformer_mit-b5,clear_day,rainy,64.89001943023645,95.16863870763171,91.08612204729643,166
mapillaryvistas,segformer_mit-b5,clear_day,snowy,55.71066463824476,91.79493726291217,86.82537789571349,153
outside15k,deeplabv3plus_r50,clear_day,clear_day,61.196087474743344,89.0164900380568,81.41568878924555,1767
outside15k,deeplabv3plus_r50,clear_day,cloudy,55.72494164742261,88.54044758331906,82.02454282719673,174
outside15k,deeplabv3plus_r50,clear_day,dawn_dusk,24.993780525378234,63.30186085995132,53.16184735783709,66
outside15k,deeplabv3plus_r50,clear_day,foggy,47.84374192993179,78.54019086326622,69.13126843736764,37
outside15k,deeplabv3plus_r50,clear_day,night,32.67863224996746,71.10478434420322,57.6737549013563,87
outside15k,deeplabv3plus_r50,clear_day,rainy,47.80975184478725,72.05731513396897,57.65650613243834,192
outside15k,deeplabv3plus_r50,clear_day,snowy,50.196009743005924,79.61072210310014,70.67075132222634,182
outside15k,pspnet_r50,clear_day,clear_day,66.90148444092239,90.857161315584,84.19413294231236,1767
outside15k,pspnet_r50,clear_day,cloudy,60.74121034330025,91.0840878606634,85.55556814977386,174
outside15k,pspnet_r50,clear_day,dawn_dusk,38.97828486353328,75.96801123433538,65.61485470182895,66
outside15k,pspnet_r50,clear_day,foggy,55.72535122896236,80.88359947688687,71.36955261074667,37
outside15k,pspnet_r50,clear_day,night,44.81324867584551,83.52224930336426,73.7048744625039,87
outside15k,pspnet_r50,clear_day,rainy,54.78806213780057,77.99085029523408,64.68825971212388,192
outside15k,pspnet_r50,clear_day,snowy,53.580559910973925,81.60095787406192,72.17252432477387,182
outside15k,segformer_mit-b5,clear_day,clear_day,76.95007446468173,93.47182494563405,88.17479542844404,1767
outside15k,segformer_mit-b5,clear_day,cloudy,75.05255308943481,94.80951150118266,90.78561714247499,174
outside15k,segformer_mit-b5,clear_day,dawn_dusk,62.98407137103158,92.21891543123752,85.89522372547489,66
outside15k,segformer_mit-b5,clear_day,foggy,65.29323507690809,86.56883618845632,77.57681703663495,37
outside15k,segformer_mit-b5,clear_day,night,57.252842250005834,89.58460588740202,83.39798304725736,87
outside15k,segformer_mit-b5,clear_day,rainy,68.21387986275435,84.64730818344736,74.08420556570698,192
outside15k,segformer_mit-b5,clear_day,snowy,62.346030544803966,85.17734210974493,76.87371946061418,182
