dataset,model,model_type,domain,mIoU,aAcc,fwIoU,num_images
bdd10k,deeplabv3plus_r50,full,clear_day,48.99514563332455,96.05123485491299,92.65082872593334,1016
bdd10k,deeplabv3plus_r50,full,cloudy,52.13471318831573,98.20522404980524,96.56645298758559,230
bdd10k,deeplabv3plus_r50,full,dawn_dusk,39.952314435141794,96.50537199920892,93.58509132376484,94
bdd10k,deeplabv3plus_r50,full,foggy,74.18805909824796,99.45717625389628,98.92577292219393,4
bdd10k,deeplabv3plus_r50,full,night,33.90043360418192,85.56266645114724,77.11852128872792,92
bdd10k,deeplabv3plus_r50,full,rainy,46.30786453649262,94.5955690563757,89.94124405051804,200
bdd10k,deeplabv3plus_r50,full,snowy,52.766873559710604,97.91535499742676,96.02751571100924,221
bdd10k,pspnet_r50,full,clear_day,54.98705667302376,96.73736567141493,93.79701655778092,1016
bdd10k,pspnet_r50,full,cloudy,63.34939573236385,98.15831551719518,96.46494917870316,230
bdd10k,pspnet_r50,full,dawn_dusk,51.392851471044956,97.67032064191218,95.50199363554874,94
bdd10k,pspnet_r50,full,foggy,97.72493684025342,99.2295976197223,98.47283765727414,4
bdd10k,pspnet_r50,full,night,42.65752023169096,93.8656309149242,88.57452470949995,92
bdd10k,pspnet_r50,full,rainy,47.99725352641626,95.00086218683676,90.60727211527522,200
bdd10k,pspnet_r50,full,snowy,66.78642257831416,98.1523247291898,96.40994233477971,221
bdd10k,segformer_mit-b5,full,clear_day,63.24601757794016,97.19665128840307,94.60959246746955,1016
bdd10k,segformer_mit-b5,full,cloudy,67.85758415709417,98.5421591087136,97.18555356768134,230
bdd10k,segformer_mit-b5,full,dawn_dusk,54.233930189216416,98.28916158457133,96.72422182442189,94
bdd10k,segformer_mit-b5,full,foggy,99.11646811620422,99.88311136299235,99.76660505996729,4
bdd10k,segformer_mit-b5,full,night,51.81898385271829,95.52694941595907,91.49077700363613,92
bdd10k,segformer_mit-b5,full,rainy,55.615911945474686,96.36198522438195,93.03441464391476,200
bdd10k,segformer_mit-b5,full,snowy,73.34062545497478,98.89893324308755,97.8500754373576,221
idd-aw,deeplabv3plus_r50,full,clear_day,72.95551923207493,97.77533431553958,95.88214176740136,1650
idd-aw,deeplabv3plus_r50,full,cloudy,74.52685529460707,98.51581625837579,97.20842186064621,416
idd-aw,deeplabv3plus_r50,full,dawn_dusk,66.31475760870077,99.29127827371516,98.66983998413392,112
idd-aw,deeplabv3plus_r50,full,foggy,73.75584351764432,99.14479088916623,98.36328120117743,290
idd-aw,deeplabv3plus_r50,full,night,66.56308164497686,98.1766509698728,96.5965060236544,93
idd-aw,deeplabv3plus_r50,full,rainy,65.74073567711498,98.35711393405869,96.91699584131996,204
idd-aw,deeplabv3plus_r50,full,snowy,58.53086787945352,98.25653280345749,96.7287710133192,163
idd-aw,pspnet_r50,full,clear_day,76.89919595155025,97.9621986030223,96.21366832165133,1650
idd-aw,pspnet_r50,full,cloudy,76.00734146272484,98.54849114138644,97.30563641313366,416
idd-aw,pspnet_r50,full,dawn_dusk,70.08400680928743,99.36967611022257,98.81684100691524,112
idd-aw,pspnet_r50,full,foggy,79.0166363439213,99.20632899206588,98.50361962347404,290
idd-aw,pspnet_r50,full,night,73.30918832968997,98.47591418560818,97.10273943091637,93
idd-aw,pspnet_r50,full,rainy,66.42072441973426,98.45549863938736,97.11285098171004,204
idd-aw,pspnet_r50,full,snowy,58.13070692904289,98.58279343767073,97.41061296988806,163
idd-aw,segformer_mit-b5,full,clear_day,81.76881430193603,98.38363842116713,96.97310219547137,1650
idd-aw,segformer_mit-b5,full,cloudy,82.42874237927758,98.89761923823283,97.93041534835592,416
idd-aw,segformer_mit-b5,full,dawn_dusk,72.54288881794113,99.50581914216532,99.07442343253436,112
idd-aw,segformer_mit-b5,full,foggy,90.93179082207223,99.57416899098376,99.18573939466482,290
idd-aw,segformer_mit-b5,full,night,80.87813618205945,98.93470567034369,97.97259528146277,93
idd-aw,segformer_mit-b5,full,rainy,77.89567928698969,99.0838221310485,98.27552333571515,204
idd-aw,segformer_mit-b5,full,snowy,80.67233811691267,99.37134136231653,98.78622722959878,163
mapillaryvistas,deeplabv3plus_r50,full,clear_day,34.8308419237375,67.83628237415931,51.52087956468478,3226
mapillaryvistas,deeplabv3plus_r50,full,cloudy,41.93329911927693,81.44894169264018,70.95363030816159,1248
mapillaryvistas,deeplabv3plus_r50,full,dawn_dusk,31.18623128148042,80.64261950621608,77.16769856186619,48
mapillaryvistas,deeplabv3plus_r50,full,foggy,100.0,100.0,100.0,27
mapillaryvistas,deeplabv3plus_r50,full,night,35.85236708889555,79.10066428206439,68.7110447165223,81
mapillaryvistas,deeplabv3plus_r50,full,rainy,41.9179768802528,77.89756512741776,64.83323301097016,166
mapillaryvistas,deeplabv3plus_r50,full,snowy,35.0738740578796,71.34155237817333,59.489647469795905,153
mapillaryvistas,pspnet_r50,full,clear_day,29.39440973128576,60.9905416965971,44.12631859951786,3226
mapillaryvistas,pspnet_r50,full,cloudy,28.541208418023455,61.11879758039118,48.17806478984696,1248
