Dataset,Model,Stage 1 mIoU,Stage 2 mIoU,Gain
BDD10K,DeepLabV3+,36.90393091598937,40.596376510032414,3.6924455940430434
BDD10K,PSPNet,40.476211123773,42.3436745339531,1.8674634101801004
BDD10K,SegFormer,46.57623099168924,48.6829955412276,2.1067645495383545
IDD-AW,DeepLabV3+,26.430552321243088,44.7712334448956,18.340681123652512
IDD-AW,PSPNet,26.89024245852147,45.22323547006205,18.33299301154058
IDD-AW,SegFormer,35.92555338733244,50.72723198372847,14.80167859639603
Mapillary,DeepLabV3+,29.837497897833703,,
Mapillary,PSPNet,29.389381520129525,,
Mapillary,SegFormer,37.04865100816783,,
OUTSIDE15K,DeepLabV3+,20.207320696797463,24.4410142318619,4.233693535064436
OUTSIDE15K,PSPNet,28.06791058998328,29.724101286449184,1.6561906964659023
OUTSIDE15K,SegFormer,41.993461696646605,45.15776404833674,3.1643023516901323
AVERAGE,,33.31224538400892,41.296403005616334,7.577356985396786
