Dataset,Model,Overall mIoU,Clear Day,Adverse Avg,Domain Gap
BDD10K,DeepLabV3+,36.90393091598937,41.998356145245374,33.896029974125994,8.10232617111938
BDD10K,PSPNet,40.476211123773,44.545949202460136,37.57167099091892,6.974278211541218
BDD10K,SegFormer,46.57623099168924,50.8856304540247,43.947440964303254,6.938189489721445
IDD-AW,DeepLabV3+,26.430552321243088,43.386242555457336,22.645515932928042,20.740726622529294
IDD-AW,PSPNet,26.89024245852147,42.34930341395946,23.104213526031455,19.245089887928007
IDD-AW,SegFormer,35.92555338733244,46.04313047875631,33.092273233766676,12.950857244989635
Mapillary,DeepLabV3+,29.837497897833703,32.25826804934099,29.47586603413035,2.782402015210643
Mapillary,PSPNet,29.389381520129525,31.826462106387797,29.74399395235966,2.0824681540281382
Mapillary,SegFormer,37.04865100816783,40.41608906506679,37.40502419068759,3.0110648743792012
OUTSIDE15K,DeepLabV3+,20.207320696797463,29.626390836613204,16.786171110894685,12.84021972571852
OUTSIDE15K,PSPNet,28.06791058998328,38.41179411367887,24.651157815500657,13.760636298178216
OUTSIDE15K,SegFormer,41.993461696646605,50.90639749011026,38.9877460334634,11.918651456646856
AVERAGE,,33.31224538400892,41.05450115925843,30.94225864659256,10.112242512665878
