dataset,model,clear_day_mIoU,normal_mIoU,adverse_mIoU,overall_mIoU,domain_gap
bdd10k,deeplabv3plus_r50,41.998356145245374,42.91973279971611,33.896029974125994,36.90393091598937,9.023702825590114
bdd10k,pspnet_r50,44.545949202460136,46.28529138948116,37.57167099091892,40.476211123773,8.713620398562242
bdd10k,segformer_mit-b5,50.8856304540247,51.83381104646121,43.94744096430326,46.57623099168924,7.886370082157946
idd-aw,deeplabv3plus_r50,43.386242555457336,36.70910078045038,22.645515932928042,26.430552321243088,14.063584847522336
idd-aw,pspnet_r50,42.34930341395946,36.33876743418368,23.104213526031455,26.89024245852147,13.234553908152225
idd-aw,segformer_mit-b5,46.04313047875631,42.11965666101648,33.092273233766676,35.92555338733244,9.027383427249802
mapillaryvistas,deeplabv3plus_r50,32.25826804934099,32.794228710477455,27.866344022737863,29.837497897833703,4.927884687739592
mapillaryvistas,pspnet_r50,31.826462106387794,31.842854752641088,27.753732698455156,29.389381520129525,4.089122054185932
mapillaryvistas,segformer_mit-b5,40.416089065066785,39.31908947172245,35.535025365798084,37.04865100816783,3.784064105924365
outside15k,deeplabv3plus_r50,29.626390836613204,27.04961986860302,16.786171110894685,20.207320696797463,10.263448757708336
outside15k,pspnet_r50,38.411794113678866,34.901416138948534,24.651157815500657,28.06791058998328,10.250258323447877
outside15k,segformer_mit-b5,50.90639749011026,48.004893023013,38.9877460334634,41.993461696646605,9.017146989549595
