strategy,dataset,model,model_raw,mIoU,mAcc,combination_type,n_components,components,component_families,component_1,component_2,best_component_mIoU,avg_component_mIoU,improvement_over_best,improvement_over_avg,synergy,comp1_name,comp1_mIoU,comp2_name,comp2_mIoU
gen_Img2Img+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.97072431341731,66.11975323862829,Generative + Standard,2,gen_Img2Img+std_autoaugment,Generative (Diffusion)+Standard Augmentation,gen_Img2Img,std_autoaugment,57.46291808680131,57.32784751656034,-0.4921937733840025,-0.3571232031430327,Negative,gen_Img2Img,57.46291808680131,std_autoaugment,57.19277694631938
gen_Img2Img+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.88238857478738,72.21819839783504,Generative + Standard,2,gen_Img2Img+std_autoaugment,Generative (Diffusion)+Standard Augmentation,gen_Img2Img,std_autoaugment,63.65030639281788,62.793189199712025,0.2320821819694956,1.0891993750753528,Positive,gen_Img2Img,63.65030639281788,std_autoaugment,61.93607200660617
gen_Img2Img+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.42817102085305,67.76068333032468,Generative + Standard,2,gen_Img2Img+std_cutmix,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_cutmix,57.59846236893694,57.53069022786913,0.829708651916107,0.8974807929839201,Positive,gen_Img2Img,57.46291808680131,std_cutmix,57.59846236893694
gen_Img2Img+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.3453770801565,73.09730753834086,Generative + Standard,2,gen_Img2Img+std_cutmix,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_cutmix,63.65030639281788,63.562654926713876,0.6950706873386139,0.7827221534426201,Positive,gen_Img2Img,63.65030639281788,std_cutmix,63.47500346060987
gen_Img2Img+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,53.64934249742046,62.541670056891974,Generative + Standard,2,gen_Img2Img+std_mixup,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_mixup,57.46291808680131,57.26882021791434,-3.8135755893808465,-3.619477720493876,Negative,gen_Img2Img,57.46291808680131,std_mixup,57.074722349027375
gen_Img2Img+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,61.15230184329944,70.28455399572306,Generative + Standard,2,gen_Img2Img+std_mixup,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_mixup,63.65030639281788,63.46069279437441,-2.4980045495184413,-2.308390951074969,Negative,gen_Img2Img,63.65030639281788,std_mixup,63.271079195930945
gen_Qwen_Image_Edit+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.8480748310368,66.11443465857384,Generative + Standard,2,gen_Qwen_Image_Edit+std_autoaugment,Generative (Multimodal)+Standard Augmentation,gen_Qwen_Image_Edit,std_autoaugment,57.87050014359093,57.53163854495516,-1.0224253125541338,-0.6835637139183603,Negative,gen_Qwen_Image_Edit,57.87050014359093,std_autoaugment,57.19277694631938
gen_Qwen_Image_Edit+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.64118789860329,71.97472287453671,Generative + Standard,2,gen_Qwen_Image_Edit+std_autoaugment,Generative (Multimodal)+Standard Augmentation,gen_Qwen_Image_Edit,std_autoaugment,63.85582191219781,62.89594695940199,-0.2146340135945195,0.7452409392013024,Negative,gen_Qwen_Image_Edit,63.85582191219781,std_autoaugment,61.93607200660617
gen_Qwen_Image_Edit+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.376176595103004,67.66247827648657,Generative + Standard,2,gen_Qwen_Image_Edit+std_cutmix,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_cutmix,57.87050014359093,57.73448125626393,0.5056764515120733,0.6416953388390709,Positive,gen_Qwen_Image_Edit,57.87050014359093,std_cutmix,57.59846236893694
gen_Qwen_Image_Edit+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.20726067718044,73.29768925148105,Generative + Standard,2,gen_Qwen_Image_Edit+std_cutmix,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_cutmix,63.85582191219781,63.66541268640384,0.3514387649826318,0.5418479907766027,Positive,gen_Qwen_Image_Edit,63.85582191219781,std_cutmix,63.47500346060987
gen_Qwen_Image_Edit+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,54.25729430821738,63.15935173692733,Generative + Standard,2,gen_Qwen_Image_Edit+std_mixup,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_mixup,57.87050014359093,57.47261124630916,-3.613205835373549,-3.2153169380917745,Negative,gen_Qwen_Image_Edit,57.87050014359093,std_mixup,57.074722349027375
gen_Qwen_Image_Edit+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,60.75052978022239,70.55909756947511,Generative + Standard,2,gen_Qwen_Image_Edit+std_mixup,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_mixup,63.85582191219781,63.563450554064374,-3.1052921319754248,-2.812920773841988,Negative,gen_Qwen_Image_Edit,63.85582191219781,std_mixup,63.271079195930945
gen_augmenters+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.45146893522095,65.45868313688686,Generative + Standard,2,gen_augmenters+std_autoaugment,Generative (Augmenters)+Standard Augmentation,gen_augmenters,std_autoaugment,57.19277694631938,56.96081091055976,-0.7413080110984254,-0.5093419753388062,Negative,gen_augmenters,56.72884487480013,std_autoaugment,57.19277694631938
gen_augmenters+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.619544682352746,72.69826996708545,Generative + Standard,2,gen_augmenters+std_autoaugment,Generative (Augmenters)+Standard Augmentation,gen_augmenters,std_autoaugment,64.01750336111867,62.97678768386242,-0.3979586787659244,0.6427569984903272,Negative,gen_augmenters,64.01750336111867,std_autoaugment,61.93607200660617
gen_augmenters+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.05856696727081,67.19879859401848,Generative + Standard,2,gen_augmenters+std_cutmix,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_cutmix,57.59846236893694,57.163653621868534,0.46010459833386363,0.8949133454022729,Positive,gen_augmenters,56.72884487480013,std_cutmix,57.59846236893694
gen_augmenters+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.17797178552432,73.37838342730288,Generative + Standard,2,gen_augmenters+std_cutmix,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_cutmix,64.01750336111867,63.74625341086427,0.16046842440565,0.4317183746600506,Positive,gen_augmenters,64.01750336111867,std_cutmix,63.47500346060987
gen_augmenters+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,53.699714521082896,62.39059504575914,Generative + Standard,2,gen_augmenters+std_mixup,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_mixup,57.074722349027375,56.90178361191376,-3.3750078279444793,-3.202069090830861,Negative,gen_augmenters,56.72884487480013,std_mixup,57.074722349027375
gen_augmenters+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,61.5410713808712,71.37499889441149,Generative + Standard,2,gen_augmenters+std_mixup,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_mixup,64.01750336111867,63.644291278524804,-2.476431980247469,-2.1032198976536023,Negative,gen_augmenters,64.01750336111867,std_mixup,63.271079195930945
