strategy,dataset,model,model_raw,mIoU,mAcc,combination_type,n_components,components,component_families,component_1,component_2
gen_Img2Img+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.97072431341731,66.11975323862829,Generative + Standard,2,gen_Img2Img+std_autoaugment,Generative (Diffusion)+Standard Augmentation,gen_Img2Img,std_autoaugment
gen_Img2Img+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.88238857478738,72.21819839783504,Generative + Standard,2,gen_Img2Img+std_autoaugment,Generative (Diffusion)+Standard Augmentation,gen_Img2Img,std_autoaugment
gen_Img2Img+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.42817102085305,67.76068333032468,Generative + Standard,2,gen_Img2Img+std_cutmix,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_cutmix
gen_Img2Img+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.3453770801565,73.09730753834086,Generative + Standard,2,gen_Img2Img+std_cutmix,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_cutmix
gen_Img2Img+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,53.64934249742046,62.541670056891974,Generative + Standard,2,gen_Img2Img+std_mixup,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_mixup
gen_Img2Img+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,61.15230184329944,70.28455399572306,Generative + Standard,2,gen_Img2Img+std_mixup,Generative (Diffusion)+Standard Mixing,gen_Img2Img,std_mixup
gen_Qwen_Image_Edit+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.8480748310368,66.11443465857384,Generative + Standard,2,gen_Qwen_Image_Edit+std_autoaugment,Generative (Multimodal)+Standard Augmentation,gen_Qwen_Image_Edit,std_autoaugment
gen_Qwen_Image_Edit+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.64118789860329,71.97472287453671,Generative + Standard,2,gen_Qwen_Image_Edit+std_autoaugment,Generative (Multimodal)+Standard Augmentation,gen_Qwen_Image_Edit,std_autoaugment
gen_Qwen_Image_Edit+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.376176595103004,67.66247827648657,Generative + Standard,2,gen_Qwen_Image_Edit+std_cutmix,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_cutmix
gen_Qwen_Image_Edit+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.20726067718044,73.29768925148105,Generative + Standard,2,gen_Qwen_Image_Edit+std_cutmix,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_cutmix
gen_Qwen_Image_Edit+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,54.25729430821738,63.15935173692733,Generative + Standard,2,gen_Qwen_Image_Edit+std_mixup,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_mixup
gen_Qwen_Image_Edit+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,60.75052978022239,70.55909756947511,Generative + Standard,2,gen_Qwen_Image_Edit+std_mixup,Generative (Multimodal)+Standard Mixing,gen_Qwen_Image_Edit,std_mixup
gen_augmenters+std_autoaugment,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,56.45146893522095,65.45868313688686,Generative + Standard,2,gen_augmenters+std_autoaugment,Generative (Augmenters)+Standard Augmentation,gen_augmenters,std_autoaugment
gen_augmenters+std_autoaugment,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,63.619544682352746,72.69826996708545,Generative + Standard,2,gen_augmenters+std_autoaugment,Generative (Augmenters)+Standard Augmentation,gen_augmenters,std_autoaugment
gen_augmenters+std_cutmix,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,58.05856696727081,67.19879859401848,Generative + Standard,2,gen_augmenters+std_cutmix,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_cutmix
gen_augmenters+std_cutmix,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,64.17797178552432,73.37838342730288,Generative + Standard,2,gen_augmenters+std_cutmix,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_cutmix
gen_augmenters+std_mixup,cityscapes,pspnet_r50,pspnet_r50_ratio0p50,53.699714521082896,62.39059504575914,Generative + Standard,2,gen_augmenters+std_mixup,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_mixup
gen_augmenters+std_mixup,cityscapes,segformer_mit-b3,segformer_mit-b3_ratio0p50,61.5410713808712,71.37499889441149,Generative + Standard,2,gen_augmenters+std_mixup,Generative (Augmenters)+Standard Mixing,gen_augmenters,std_mixup
