strategy,base,combination,dataset,model,mIoU
gen_Attribute_Hallucination+photometric_distort,gen_Attribute_Hallucination,photometric_distort,idd-aw,pspnet_r50_ratio0p5,43.387918437999424
gen_Attribute_Hallucination+photometric_distort,gen_Attribute_Hallucination,photometric_distort,idd-aw,segformer_mit-b5_ratio0p5,46.952369670446316
gen_Qwen_Image_Edit+photometric_distort,gen_Qwen_Image_Edit,photometric_distort,idd-aw,pspnet_r50_ratio0p5,43.188121573659615
gen_Qwen_Image_Edit+photometric_distort,gen_Qwen_Image_Edit,photometric_distort,idd-aw,segformer_mit-b5_ratio0p5,46.930609824869194
gen_Qwen_Image_Edit+std_autoaugment,gen_Qwen_Image_Edit,std_autoaugment,idd-aw,pspnet_r50_ratio0p5,38.2141949562845
gen_Qwen_Image_Edit+std_autoaugment,gen_Qwen_Image_Edit,std_autoaugment,idd-aw,segformer_mit-b5_ratio0p5,43.28580619364043
gen_Qwen_Image_Edit+std_cutmix,gen_Qwen_Image_Edit,std_cutmix,idd-aw,pspnet_r50_ratio0p5,37.33463397390799
gen_Qwen_Image_Edit+std_cutmix,gen_Qwen_Image_Edit,std_cutmix,idd-aw,segformer_mit-b5_ratio0p5,43.2808488078477
gen_Qwen_Image_Edit+std_mixup,gen_Qwen_Image_Edit,std_mixup,idd-aw,pspnet_r50_ratio0p5,36.103099355564694
gen_Qwen_Image_Edit+std_mixup,gen_Qwen_Image_Edit,std_mixup,idd-aw,segformer_mit-b5_ratio0p5,43.06096732713384
gen_Qwen_Image_Edit+std_randaugment,gen_Qwen_Image_Edit,std_randaugment,idd-aw,pspnet_r50_ratio0p5,37.6486116677422
gen_Qwen_Image_Edit+std_randaugment,gen_Qwen_Image_Edit,std_randaugment,idd-aw,segformer_mit-b5_ratio0p5,43.42346895884314
gen_flux_kontext+photometric_distort,gen_flux_kontext,photometric_distort,idd-aw,pspnet_r50_ratio0p5,43.34258435854655
gen_flux_kontext+photometric_distort,gen_flux_kontext,photometric_distort,idd-aw,segformer_mit-b5_ratio0p5,46.9409416851062
gen_flux_kontext+std_autoaugment,gen_flux_kontext,std_autoaugment,idd-aw,pspnet_r50_ratio0p5,37.91197268618416
gen_flux_kontext+std_autoaugment,gen_flux_kontext,std_autoaugment,idd-aw,segformer_mit-b5_ratio0p5,43.558476752961674
gen_flux_kontext+std_cutmix,gen_flux_kontext,std_cutmix,idd-aw,pspnet_r50_ratio0p5,37.30509757688246
gen_flux_kontext+std_cutmix,gen_flux_kontext,std_cutmix,idd-aw,segformer_mit-b5_ratio0p5,43.36435375024102
gen_flux_kontext+std_mixup,gen_flux_kontext,std_mixup,idd-aw,pspnet_r50_ratio0p5,35.49071819914495
gen_flux_kontext+std_mixup,gen_flux_kontext,std_mixup,idd-aw,segformer_mit-b5_ratio0p5,43.21082460670162
gen_flux_kontext+std_randaugment,gen_flux_kontext,std_randaugment,idd-aw,pspnet_r50_ratio0p5,37.38055194759089
gen_flux_kontext+std_randaugment,gen_flux_kontext,std_randaugment,idd-aw,segformer_mit-b5_ratio0p5,43.16521122960403
gen_stargan_v2+photometric_distort,gen_stargan_v2,photometric_distort,idd-aw,pspnet_r50_ratio0p5,43.48605654426876
gen_stargan_v2+photometric_distort,gen_stargan_v2,photometric_distort,idd-aw,segformer_mit-b5_ratio0p5,46.84927076131406
gen_step1x_new+photometric_distort,gen_step1x_new,photometric_distort,idd-aw,pspnet_r50_ratio0p5,43.39482434655883
gen_step1x_new+photometric_distort,gen_step1x_new,photometric_distort,idd-aw,segformer_mit-b5_ratio0p5,46.964919695910766
gen_step1x_new+std_autoaugment,gen_step1x_new,std_autoaugment,idd-aw,pspnet_r50_ratio0p5,37.73915858571829
gen_step1x_new+std_autoaugment,gen_step1x_new,std_autoaugment,idd-aw,segformer_mit-b5_ratio0p5,43.6125493160467
gen_step1x_new+std_cutmix,gen_step1x_new,std_cutmix,idd-aw,pspnet_r50_ratio0p5,37.5696323683603
gen_step1x_new+std_cutmix,gen_step1x_new,std_cutmix,idd-aw,segformer_mit-b5_ratio0p5,43.287900198542054
gen_step1x_new+std_mixup,gen_step1x_new,std_mixup,idd-aw,segformer_mit-b5_ratio0p5,43.194008644879524
gen_step1x_new+std_randaugment,gen_step1x_new,std_randaugment,idd-aw,pspnet_r50_ratio0p5,36.71239844901273
gen_step1x_new+std_randaugment,gen_step1x_new,std_randaugment,idd-aw,segformer_mit-b5_ratio0p5,43.375488134334674
std_autoaugment+photometric_distort,std_autoaugment,photometric_distort,idd-aw,pspnet_r50,43.51170236646973
std_autoaugment+photometric_distort,std_autoaugment,photometric_distort,idd-aw,segformer_mit-b5,46.8486004962983
std_cutmix+photometric_distort,std_cutmix,photometric_distort,idd-aw,pspnet_r50,43.04715715113299
std_cutmix+photometric_distort,std_cutmix,photometric_distort,idd-aw,segformer_mit-b5,46.838174215384306
std_cutmix+std_autoaugment,std_cutmix,std_autoaugment,idd-aw,pspnet_r50,36.528525490499185
std_cutmix+std_autoaugment,std_cutmix,std_autoaugment,idd-aw,segformer_mit-b5,43.301835973848725
std_mixup+photometric_distort,std_mixup,photometric_distort,idd-aw,pspnet_r50,43.56779042217454
std_mixup+photometric_distort,std_mixup,photometric_distort,idd-aw,segformer_mit-b5,46.87871302882467
std_mixup+std_autoaugment,std_mixup,std_autoaugment,idd-aw,pspnet_r50,35.04117851760352
std_mixup+std_autoaugment,std_mixup,std_autoaugment,idd-aw,segformer_mit-b5,42.959084755303486
std_mixup+std_cutmix,std_mixup,std_cutmix,idd-aw,pspnet_r50,35.690420851017834
std_mixup+std_cutmix,std_mixup,std_cutmix,idd-aw,segformer_mit-b5,43.12071834927062
std_randaugment+photometric_distort,std_randaugment,photometric_distort,idd-aw,pspnet_r50,43.24532523968039
std_randaugment+photometric_distort,std_randaugment,photometric_distort,idd-aw,segformer_mit-b5,46.856226450801735
std_randaugment+std_autoaugment,std_randaugment,std_autoaugment,idd-aw,pspnet_r50,36.70905209609021
std_randaugment+std_autoaugment,std_randaugment,std_autoaugment,idd-aw,segformer_mit-b5,43.10144037494435
std_randaugment+std_cutmix,std_randaugment,std_cutmix,idd-aw,pspnet_r50,37.22779481201805
std_randaugment+std_cutmix,std_randaugment,std_cutmix,idd-aw,segformer_mit-b5,43.28590822703063
std_randaugment+std_mixup,std_randaugment,std_mixup,idd-aw,pspnet_r50,36.774520638660796
std_randaugment+std_mixup,std_randaugment,std_mixup,idd-aw,segformer_mit-b5,43.20932543464055
