strategy,dataset,model,iteration,checkpoint
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,100000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_100000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,110000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_110000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,120000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_120000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,130000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_130000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,140000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_140000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,150000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_150000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,160000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_160000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,170000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_170000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,180000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_180000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,190000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_190000.pth
gen_TSIT,bdd10k,pspnet_r50_ratio0p50,200000,/scratch/aaa_exchange/AWARE/WEIGHTS_EXTENDED/gen_TSIT/bdd10k/pspnet_r50_ratio0p50/iter_200000.pth
