Strategy,Type,bdd10k,bdd10k_gain,iddaw,iddaw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
std_autoaugment,Standard Aug,46.38,+4.10,36.94,+0.95,34.75,+1.70,41.89,+2.75
std_cutmix,Standard Aug,46.28,+3.99,37.06,+1.07,34.67,+1.63,41.65,+2.51
std_mixup,Standard Aug,46.37,+4.09,37.74,+1.75,33.46,+0.41,41.67,+2.53
gen_UniControl,Generative,47.22,+4.94,38.10,+2.11,33.01,-0.03,40.45,+1.31
gen_Img2Img,Generative,46.85,+4.57,38.13,+2.14,32.93,-0.11,40.37,+1.23
gen_Attribute_Hallucination,Generative,46.70,+4.42,37.74,+1.75,32.91,-0.14,40.90,+1.76
gen_Qwen_Image_Edit,Generative,46.36,+4.08,37.82,+1.83,32.88,-0.17,40.89,+1.75
gen_stargan_v2,Generative,46.55,+4.27,37.68,+1.69,32.71,-0.33,41.00,+1.85
gen_CNetSeg,Generative,46.59,+4.31,37.70,+1.71,32.87,-0.17,40.77,+1.63
gen_augmenters,Generative,46.13,+3.85,37.75,+1.76,32.87,-0.17,40.98,+1.84
gen_IP2P,Generative,46.28,+4.00,37.81,+1.82,32.88,-0.17,40.67,+1.53
std_randaugment,Standard Aug,46.16,+3.88,37.74,+1.75,32.83,-0.21,40.89,+1.75
gen_cyclediffusion,Generative,46.06,+3.78,38.04,+2.05,32.68,-0.37,40.63,+1.49
gen_automold,Generative,46.07,+3.79,37.81,+1.83,32.90,-0.14,40.59,+1.45
gen_flux_kontext,Generative,44.53,+2.25,37.80,+1.82,32.98,-0.06,42.01,+2.87
gen_VisualCloze,Generative,45.74,+3.46,38.03,+2.04,32.94,-0.11,40.48,+1.34
gen_CUT,Generative,45.98,+3.70,37.74,+1.75,32.68,-0.37,40.57,+1.43
gen_Weather_Effect_Generator,Generative,45.82,+3.54,37.59,+1.60,33.04,-0.01,40.52,+1.38
gen_step1x_new,Generative,44.70,+2.42,37.87,+1.88,32.94,-0.11,40.44,+1.30
gen_SUSTechGAN,Generative,44.84,+2.56,37.84,+1.85,32.77,-0.27,40.44,+1.30
gen_albumentations_weather,Generative,45.01,+2.73,37.71,+1.72,32.76,-0.28,40.39,+1.25
gen_cycleGAN,Generative,43.27,+0.99,37.85,+1.86,32.90,-0.14,41.32,+2.18
gen_TSIT,Generative,46.56,+4.28,37.71,+1.72,30.09,-2.96,40.68,+1.54
gen_LANIT,Generative,44.56,+2.28,36.89,+0.90,32.88,-0.17,40.66,+1.52
gen_step1x_v1p2,Generative,43.03,+0.75,37.77,+1.78,32.85,-0.20,40.53,+1.39
baseline,Baseline,42.28,+0.00,35.99,+0.00,33.05,-0.00,39.14,-0.00
