Strategy,Type,clear_day,cloudy,dawn_dusk,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,41.30,41.21,36.17,46.61,32.27,38.90,40.29,41.30,39.24,2.06
gen_Attribute_Hallucination,Generative,42.33,41.37,36.55,46.29,33.52,39.84,42.14,42.33,39.95,2.38
gen_CUT,Generative,42.22,41.45,37.40,46.86,33.38,39.80,41.72,42.22,40.10,2.11
gen_IP2P,Generative,42.49,41.42,36.65,48.08,32.62,39.95,42.16,42.49,40.15,2.34
gen_Img2Img,Generative,42.32,41.23,36.48,46.94,33.57,39.63,41.51,42.32,39.89,2.43
gen_LANIT,Generative,42.23,41.36,37.42,46.62,32.60,39.72,41.64,42.23,39.89,2.33
gen_SUSTechGAN,Generative,42.33,40.99,36.23,46.65,32.56,39.60,42.01,42.33,39.67,2.66
gen_UniControl,Generative,42.19,41.76,36.40,46.57,32.88,39.80,42.25,42.19,39.94,2.24
gen_VisualCloze,Generative,42.37,41.16,36.64,44.96,32.78,40.22,41.74,42.37,39.58,2.79
gen_albumentations_weather,Generative,42.10,41.64,36.40,47.53,33.63,39.92,41.73,42.10,40.14,1.96
gen_automold,Generative,42.38,41.41,36.63,46.19,32.60,39.26,41.92,42.38,39.67,2.71
gen_cycleGAN,Generative,39.08,38.85,34.57,42.61,30.02,36.90,37.67,39.08,36.77,2.31
gen_cyclediffusion,Generative,42.46,41.35,37.45,46.21,33.30,40.04,41.57,42.46,39.99,2.47
gen_flux_kontext,Generative,39.16,38.82,34.42,41.38,29.63,36.84,37.71,39.16,36.47,2.69
gen_step1x_new,Generative,41.28,41.11,36.55,45.10,31.40,38.65,40.89,41.28,38.95,2.33
gen_step1x_v1p2,Generative,42.20,41.51,37.41,47.21,32.90,39.58,40.78,42.20,39.90,2.30
std_autoaugment,Standard Aug,40.97,40.74,36.34,44.97,32.18,38.90,40.16,40.97,38.88,2.09
std_cutmix,Standard Aug,40.39,39.72,35.95,43.83,31.68,38.42,39.19,40.39,38.13,2.26
std_mixup,Standard Aug,39.85,39.76,35.92,43.73,31.01,38.17,39.35,39.85,37.99,1.86
std_randaugment,Standard Aug,39.16,38.89,34.64,42.65,29.85,37.24,37.80,39.16,36.85,2.31
