Strategy,Type,mask2former_swin-b,mask2former_swin-b_gain,pspnet_r50,pspnet_r50_gain,segformer_mit-b3,segformer_mit-b3_gain,segnext_mscan-b,segnext_mscan-b_gain
gen_UniControl,Generative,46.91,+2.17,34.74,+2.66,41.11,+4.90,41.12,+3.69
gen_Img2Img,Generative,46.60,+1.87,34.77,+2.69,40.67,+4.46,41.22,+3.79
gen_Attribute_Hallucination,Generative,45.23,+0.50,34.88,+2.79,41.23,+5.02,41.08,+3.65
gen_stargan_v2,Generative,45.35,+0.61,34.82,+2.74,40.81,+4.60,41.21,+3.78
gen_CNetSeg,Generative,45.00,+0.27,34.77,+2.69,41.16,+4.95,41.09,+3.66
gen_Qwen_Image_Edit,Generative,44.96,+0.22,34.83,+2.75,41.10,+4.89,41.09,+3.66
gen_VisualCloze,Generative,46.15,+1.41,34.96,+2.88,40.69,+4.48,40.11,+2.68
gen_cyclediffusion,Generative,45.07,+0.33,34.85,+2.77,40.61,+4.40,41.08,+3.65
gen_augmenters,Generative,44.67,-0.06,34.80,+2.72,40.87,+4.67,41.26,+3.83
gen_IP2P,Generative,44.68,-0.06,34.90,+2.82,41.00,+4.79,41.01,+3.58
gen_Weather_Effect_Generator,Generative,44.32,-0.41,34.75,+2.67,40.76,+4.55,40.92,+3.49
gen_CUT,Generative,43.86,-0.87,34.84,+2.76,40.92,+4.71,40.96,+3.53
std_randaugment,Standard Aug,43.18,-1.56,34.75,+2.67,40.88,+4.67,41.37,+3.94
gen_SUSTechGAN,Generative,44.93,+0.19,34.77,+2.69,40.79,+4.58,39.56,+2.12
gen_TSIT,Generative,45.36,+0.62,34.86,+2.78,38.79,+2.58,41.02,+3.59
std_autoaugment,Standard Aug,43.93,-0.81,34.86,+2.78,40.92,+4.71,40.25,+2.82
gen_automold,Generative,45.07,+0.33,34.84,+2.76,41.14,+4.93,38.62,+1.19
std_cutmix,Standard Aug,43.73,-1.00,34.81,+2.72,39.97,+3.76,41.14,+3.71
gen_flux_kontext,Generative,43.84,-0.89,34.88,+2.80,39.41,+3.20,41.12,+3.69
std_mixup,Standard Aug,42.56,-2.18,34.81,+2.73,40.80,+4.59,41.07,+3.64
gen_LANIT,Generative,45.17,+0.43,34.82,+2.73,39.14,+2.93,40.07,+2.64
gen_step1x_new,Generative,42.78,-1.96,34.81,+2.73,39.03,+2.82,41.14,+3.71
gen_albumentations_weather,Generative,43.28,-1.45,35.03,+2.95,40.63,+4.42,38.70,+1.27
gen_cycleGAN,Generative,43.46,-1.27,34.84,+2.76,39.23,+3.03,39.70,+2.27
gen_step1x_v1p2,Generative,42.11,-2.63,34.96,+2.88,39.31,+3.10,38.71,+1.28
baseline,Baseline,44.74,+0.00,32.08,+0.00,36.21,+0.00,37.43,+0.00
