Strategy,Type,deeplabv3plus_r50,deeplabv3plus_r50_gain,hrnet_hr48,hrnet_hr48_gain,mask2former_swin-b,mask2former_swin-b_gain,pspnet_r50,pspnet_r50_gain,segformer_mit-b3,segformer_mit-b3_gain,segformer_mit-b5,segformer_mit-b5_gain,segnext_mscan-b,segnext_mscan-b_gain
baseline,Baseline,37.57,+0.00,38.26,+0.00,44.30,+0.00,36.22,+0.00,43.60,+0.00,48.14,+0.00,43.86,+0.00
gen_SUSTechGAN,Generative,-,-,-,-,45.13,+0.83,35.77,-0.45,41.67,-1.93,-,-,42.24,-1.62
gen_CNetSeg,Generative,-,-,-,-,44.94,+0.64,35.73,-0.49,41.82,-1.78,-,-,42.30,-1.55
gen_stargan_v2,Generative,-,-,-,-,44.45,+0.15,35.77,-0.45,42.06,-1.54,-,-,42.20,-1.66
gen_albumentations_weather,Generative,-,-,-,-,44.54,+0.24,35.82,-0.40,41.87,-1.73,-,-,42.22,-1.63
gen_flux_kontext,Generative,-,-,-,-,44.38,+0.08,35.70,-0.52,41.84,-1.76,-,-,42.50,-1.36
gen_step1x_new,Generative,-,-,-,-,44.53,+0.23,35.92,-0.30,41.77,-1.83,-,-,42.20,-1.66
std_randaugment,Standard Aug,-,-,-,-,44.27,-0.03,35.66,-0.56,42.01,-1.60,-,-,42.35,-1.51
gen_Weather_Effect_Generator,Generative,-,-,-,-,44.54,+0.25,35.63,-0.58,41.64,-1.96,-,-,42.36,-1.49
gen_UniControl,Generative,-,-,-,-,44.28,-0.02,35.73,-0.49,41.77,-1.84,-,-,42.37,-1.49
gen_LANIT,Generative,-,-,-,-,40.23,-4.06,-,-,41.76,-1.84,-,-,-,-
gen_Qwen_Image_Edit,Generative,-,-,-,-,44.03,-0.27,35.83,-0.39,41.74,-1.87,-,-,42.28,-1.58
gen_VisualCloze,Generative,-,-,-,-,43.48,-0.82,35.78,-0.44,41.90,-1.70,-,-,42.42,-1.44
gen_cyclediffusion,Generative,-,-,-,-,43.49,-0.81,35.67,-0.55,41.85,-1.76,-,-,42.45,-1.41
std_autoaugment,Standard Aug,-,-,-,-,43.43,-0.87,35.56,-0.66,41.79,-1.81,-,-,42.60,-1.26
gen_TSIT,Generative,-,-,-,-,43.69,-0.61,35.70,-0.52,41.68,-1.92,-,-,42.21,-1.64
gen_step1x_v1p2,Generative,-,-,-,-,43.47,-0.83,35.89,-0.32,41.69,-1.91,-,-,42.17,-1.69
std_mixup,Standard Aug,-,-,-,-,43.27,-1.03,35.81,-0.40,41.85,-1.75,-,-,42.28,-1.58
gen_Img2Img,Generative,-,-,-,-,43.34,-0.96,35.72,-0.50,41.78,-1.82,-,-,42.23,-1.63
gen_automold,Generative,-,-,-,-,42.83,-1.47,35.70,-0.52,41.77,-1.83,-,-,42.54,-1.31
gen_CUT,Generative,-,-,-,-,42.79,-1.51,35.74,-0.48,41.75,-1.86,-,-,42.45,-1.41
gen_IP2P,Generative,-,-,-,-,42.32,-1.98,35.82,-0.40,41.98,-1.62,-,-,42.38,-1.48
gen_augmenters,Generative,-,-,-,-,41.77,-2.52,35.62,-0.59,42.01,-1.59,-,-,42.36,-1.50
std_cutmix,Standard Aug,-,-,-,-,41.74,-2.56,35.63,-0.59,41.88,-1.72,-,-,42.49,-1.36
gen_cycleGAN,Generative,-,-,-,-,41.82,-2.48,35.63,-0.59,41.74,-1.86,-,-,42.18,-1.67
gen_Attribute_Hallucination,Generative,-,-,-,-,39.78,-4.51,35.74,-0.48,41.77,-1.83,-,-,42.33,-1.53
