Strategy,Type,mIoU,Std,Gain,Normal mIoU,Adverse mIoU,Domain Gap,Num Tests
gen_LANIT,Generative,41.76,5.33,0.91,42.23,39.89,2.33,4
gen_step1x_new,Generative,41.11,5.49,0.25,41.57,39.64,1.93,16
gen_flux_kontext,Generative,41.11,5.54,0.25,41.5,39.09,2.41,16
gen_UniControl,Generative,41.04,5.48,0.18,41.45,39.63,1.82,16
gen_Qwen_Image_Edit,Generative,40.97,5.37,0.12,41.44,39.29,2.14,16
gen_albumentations_weather,Generative,40.86,6.1,0.01,41.04,38.71,2.32,11
baseline,Baseline,40.85,5.47,0.0,41.34,39.32,2.02,39
std_autoaugment,Standard Aug,40.85,5.48,-0.01,41.2,39.28,1.92,16
gen_Img2Img,Generative,40.77,5.41,-0.09,41.25,39.24,2.01,16
gen_CUT,Generative,40.68,5.26,-0.17,41.06,39.26,1.8,16
gen_augmenters,Generative,40.44,6.07,-0.41,40.8,38.68,2.13,16
std_cutmix,Standard Aug,40.44,6.24,-0.42,40.76,38.77,1.99,16
std_randaugment,Standard Aug,40.4,5.52,-0.45,40.63,38.67,1.96,14
gen_cycleGAN,Generative,40.34,6.14,-0.51,40.71,38.84,1.88,16
gen_IP2P,Generative,40.12,5.87,-0.73,40.47,38.1,2.37,10
gen_SUSTechGAN,Generative,40.06,5.83,-0.8,40.48,37.67,2.81,10
std_mixup,Standard Aug,39.95,5.22,-0.91,40.2,38.34,1.86,14
gen_VisualCloze,Generative,39.59,5.48,-1.26,39.9,37.46,2.44,10
gen_step1x_v1p2,Generative,39.57,5.42,-1.28,39.94,37.62,2.32,10
gen_cyclediffusion,Generative,39.48,5.49,-1.37,39.87,37.51,2.36,10
gen_automold,Generative,39.42,5.42,-1.44,39.76,37.45,2.31,10
gen_Attribute_Hallucination,Generative,39.38,5.45,-1.48,39.74,37.37,2.37,10
gen_stargan_v2,Generative,39.2,6.05,-1.66,39.41,36.35,3.06,8
gen_CNetSeg,Generative,39.18,6.23,-1.67,39.25,36.85,2.4,8
gen_Weather_Effect_Generator,Generative,39.03,6.05,-1.82,39.17,36.79,2.38,8
gen_TSIT,Generative,38.69,5.55,-2.16,38.84,36.51,2.33,8
