Strategy,Type,bdd10k,bdd10k_gain,idd-aw,idd-aw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
std_minimal,Standard Aug,46.15,+0.54,40.89,+0.83,-,-,-,-
std_photometric_distort,Augmentation,45.62,+0.01,40.53,+0.48,-,-,-,-
gen_step1x_v1p2,Generative,45.73,+0.12,40.40,+0.34,-,-,-,-
gen_cycleGAN,Generative,45.77,+0.16,40.21,+0.15,-,-,-,-
gen_Attribute_Hallucination,Generative,45.61,-0.00,40.26,+0.20,-,-,-,-
gen_augmenters,Generative,45.68,+0.07,40.18,+0.12,-,-,-,-
gen_SUSTechGAN,Generative,45.64,+0.03,40.18,+0.12,-,-,-,-
gen_TSIT,Generative,45.71,+0.11,40.08,+0.03,-,-,-,-
std_cutmix,Standard Aug,45.44,-0.17,40.32,+0.26,-,-,-,-
gen_flux_kontext,Generative,45.51,-0.10,40.22,+0.16,-,-,-,-
gen_UniControl,Generative,45.45,-0.15,40.26,+0.21,-,-,-,-
gen_automold,Generative,45.44,-0.16,40.25,+0.19,-,-,-,-
baseline,Baseline,45.61,-,40.06,-0.00,-,-,-,-
std_mixup,Standard Aug,45.35,-0.26,40.31,+0.25,-,-,-,-
gen_Img2Img,Generative,45.39,-0.22,40.25,+0.19,-,-,-,-
gen_CUT,Generative,45.46,-0.14,40.14,+0.08,-,-,-,-
gen_step1x_new,Generative,45.22,-0.38,40.34,+0.28,-,-,-,-
gen_Weather_Effect_Generator,Generative,45.28,-0.33,40.27,+0.21,-,-,-,-
std_autoaugment,Standard Aug,45.49,-0.11,40.02,-0.04,-,-,-,-
gen_VisualCloze,Generative,45.41,-0.20,40.08,+0.03,-,-,-,-
gen_stargan_v2,Generative,45.28,-0.33,40.15,+0.09,-,-,-,-
gen_IP2P,Generative,45.22,-0.38,40.20,+0.14,-,-,-,-
gen_Qwen_Image_Edit,Generative,45.25,-0.36,40.15,+0.09,-,-,-,-
gen_albumentations_weather,Generative,45.26,-0.34,40.13,+0.07,-,-,-,-
gen_cyclediffusion,Generative,45.17,-0.44,40.20,+0.14,-,-,-,-
gen_CNetSeg,Generative,45.16,-0.44,40.19,+0.14,-,-,-,-
gen_LANIT,Generative,45.19,-0.41,40.14,+0.08,-,-,-,-
std_randaugment,Standard Aug,45.22,-0.39,39.92,-0.14,-,-,-,-
