Strategy,Type,bdd10k,bdd10k_gain,idd-aw,idd-aw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
gen_Attribute_Hallucination,Generative,90.74,+0.37,84.47,+1.04,89.25,+0.08,76.52,+0.96
gen_cycleGAN,Generative,90.70,+0.34,84.39,+0.96,89.11,-0.06,76.38,+0.82
std_autoaugment,Standard Aug,90.75,+0.39,83.99,+0.56,89.16,-0.00,76.64,+1.08
gen_stargan_v2,Generative,90.67,+0.31,84.14,+0.70,89.26,+0.10,76.45,+0.89
gen_Img2Img,Generative,90.72,+0.35,84.21,+0.77,89.35,+0.18,76.15,+0.59
std_randaugment,Standard Aug,90.53,+0.16,84.04,+0.60,89.12,-0.05,76.63,+1.07
gen_flux_kontext,Generative,90.71,+0.35,83.64,+0.20,89.29,+0.13,76.68,+1.12
gen_CNetSeg,Generative,90.63,+0.26,83.99,+0.56,89.39,+0.22,76.23,+0.67
gen_augmenters,Generative,90.65,+0.28,84.33,+0.89,89.34,+0.18,75.70,+0.14
gen_SUSTechGAN,Generative,90.71,+0.34,83.81,+0.38,89.26,+0.10,76.15,+0.59
gen_VisualCloze,Generative,90.73,+0.36,83.75,+0.31,89.14,-0.03,76.25,+0.69
gen_CUT,Generative,90.71,+0.35,83.94,+0.51,89.17,+0.01,76.01,+0.44
gen_Qwen_Image_Edit,Generative,90.71,+0.34,84.10,+0.67,89.31,+0.15,75.60,+0.04
gen_automold,Generative,90.72,+0.35,83.86,+0.43,89.27,+0.11,75.77,+0.21
gen_step1x_new,Generative,90.78,+0.41,83.51,+0.08,89.20,+0.03,76.07,+0.51
gen_albumentations_weather,Generative,90.71,+0.35,83.90,+0.47,89.24,+0.08,75.65,+0.09
gen_Weather_Effect_Generator,Generative,90.70,+0.33,83.60,+0.17,89.18,+0.02,76.01,+0.45
gen_UniControl,Generative,90.83,+0.46,83.43,-0.00,89.19,+0.03,76.02,+0.46
photometric_distort,Augmentation,90.57,+0.20,84.43,+0.99,89.17,+0.00,75.27,-0.29
gen_cyclediffusion,Generative,90.79,+0.42,83.41,-0.02,89.31,+0.15,75.80,+0.24
gen_IP2P,Generative,90.71,+0.35,83.58,+0.15,89.29,+0.13,75.67,+0.11
std_mixup,Standard Aug,90.28,-0.09,83.13,-0.31,89.08,-0.08,76.59,+1.03
gen_LANIT,Generative,90.51,+0.15,83.34,-0.10,89.31,+0.15,75.87,+0.30
gen_TSIT,Generative,90.58,+0.21,83.60,+0.16,89.17,+0.00,75.56,+0.00
gen_step1x_v1p2,Generative,90.69,+0.32,83.94,+0.50,89.21,+0.04,74.91,-0.65
std_cutmix,Standard Aug,90.59,+0.22,83.45,+0.02,88.80,-0.36,75.71,+0.15
baseline,Baseline,90.37,-,83.43,-0.00,89.16,-0.00,75.56,-
