Strategy,Type,bdd10k,bdd10k_gain,idd-aw,idd-aw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
gen_Attribute_Hallucination,Generative,83.72,+0.61,74.68,+1.43,82.33,+0.07,65.48,+1.14
gen_cycleGAN,Generative,83.68,+0.56,74.55,+1.31,82.15,-0.11,65.20,+0.87
std_autoaugment,Standard Aug,83.79,+0.67,73.78,+0.54,82.22,-0.03,65.75,+1.41
gen_Img2Img,Generative,83.70,+0.58,74.25,+1.00,82.44,+0.18,65.09,+0.76
gen_flux_kontext,Generative,83.70,+0.58,73.68,+0.43,82.39,+0.13,65.65,+1.31
gen_stargan_v2,Generative,83.64,+0.53,74.16,+0.92,82.33,+0.07,65.26,+0.92
std_randaugment,Standard Aug,83.48,+0.37,73.89,+0.64,82.11,-0.15,65.67,+1.34
gen_augmenters,Generative,83.58,+0.46,74.50,+1.26,82.46,+0.20,64.60,+0.26
gen_VisualCloze,Generative,83.75,+0.63,73.76,+0.51,82.14,-0.12,65.16,+0.82
gen_CUT,Generative,83.69,+0.57,74.00,+0.75,82.17,-0.09,64.85,+0.51
gen_CNetSeg,Generative,83.51,+0.40,73.89,+0.64,82.49,+0.23,64.82,+0.48
gen_SUSTechGAN,Generative,83.68,+0.56,73.77,+0.52,82.31,+0.05,64.92,+0.58
gen_Qwen_Image_Edit,Generative,83.71,+0.60,74.17,+0.92,82.41,+0.15,64.34,+0.00
gen_automold,Generative,83.70,+0.58,73.70,+0.45,82.35,+0.09,64.66,+0.32
gen_UniControl,Generative,83.87,+0.75,73.53,+0.28,82.20,-0.06,64.74,+0.41
gen_albumentations_weather,Generative,83.67,+0.55,73.91,+0.67,82.29,+0.03,64.43,+0.09
std_photometric_distort,Augmentation,83.47,+0.35,74.67,+1.43,82.22,-0.04,63.85,-0.49
gen_Weather_Effect_Generator,Generative,83.67,+0.55,73.34,+0.09,82.23,-0.03,64.82,+0.48
gen_IP2P,Generative,83.67,+0.56,73.36,+0.12,82.42,+0.16,64.58,+0.24
gen_step1x_new,Generative,83.77,+0.65,73.12,-0.13,82.22,-0.04,64.91,+0.57
gen_cyclediffusion,Generative,83.82,+0.71,72.94,-0.30,82.42,+0.16,64.72,+0.39
gen_step1x_v1p2,Generative,83.64,+0.52,73.96,+0.71,82.24,-0.02,63.85,-0.49
gen_LANIT,Generative,83.41,+0.29,72.97,-0.28,82.40,+0.14,64.79,+0.46
std_mixup,Standard Aug,83.10,-0.01,72.93,-0.32,82.11,-0.15,65.28,+0.94
gen_TSIT,Generative,83.49,+0.38,73.39,+0.14,82.20,-0.06,64.22,-0.12
baseline,Baseline,83.12,-,73.25,-,82.26,-,64.34,-
std_cutmix,Standard Aug,83.39,+0.28,73.36,+0.12,81.47,-0.78,64.42,+0.08
