Strategy,Type,clear_day,cloudy,dawn_dusk,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,44.16,39.37,33.18,40.69,28.99,35.41,34.81,41.77,34.98,6.79
gen_Attribute_Hallucination,Generative,45.76,42.06,35.99,43.54,31.39,37.68,37.02,43.91,37.41,6.50
gen_CNetSeg,Generative,45.59,41.59,35.46,43.89,31.63,37.34,36.53,43.59,37.35,6.25
gen_CUT,Generative,45.27,41.42,34.79,44.38,30.68,37.23,37.16,43.34,37.36,5.98
gen_EDICT,Generative,43.12,45.33,35.27,55.22,19.94,38.93,46.33,44.22,40.11,4.12
gen_IP2P,Generative,45.41,41.39,35.52,42.30,30.72,37.48,37.02,43.40,36.88,6.52
gen_Img2Img,Generative,45.24,41.74,34.86,43.26,31.25,37.43,37.19,43.49,37.28,6.21
gen_LANIT,Generative,44.97,41.07,34.59,42.31,30.05,37.02,36.72,43.02,36.52,6.50
gen_Qwen_Image_Edit,Generative,47.68,44.14,38.37,46.95,33.19,39.60,41.89,45.91,40.41,5.51
gen_SUSTechGAN,Generative,45.19,41.28,35.07,43.55,31.04,37.55,37.36,43.24,37.37,5.86
gen_TSIT,Generative,45.30,41.08,34.89,42.78,30.28,37.22,36.95,43.19,36.81,6.38
gen_UniControl,Generative,45.14,41.19,34.78,44.40,30.77,37.69,37.41,43.16,37.57,5.60
gen_VisualCloze,Generative,45.19,41.32,34.90,43.15,30.34,37.68,37.31,43.25,37.12,6.13
gen_Weather_Effect_Generator,Generative,45.29,41.09,34.26,42.69,29.43,37.03,37.02,43.19,36.54,6.65
gen_albumentations_weather,Generative,45.37,41.63,35.46,44.33,31.09,37.52,36.84,43.50,37.45,6.06
gen_augmenters,Generative,44.92,41.38,34.70,43.42,30.43,37.01,36.76,43.15,36.91,6.24
gen_automold,Generative,45.32,41.84,34.85,43.22,30.79,37.92,37.24,43.58,37.29,6.29
gen_cycleGAN,Generative,45.70,41.54,35.60,43.58,30.88,37.71,37.42,43.62,37.40,6.22
gen_cyclediffusion,Generative,45.17,40.94,33.37,41.98,28.48,37.09,36.28,43.06,35.95,7.10
gen_flux_kontext,Generative,45.52,41.77,35.11,43.60,30.78,37.76,37.44,43.65,37.39,6.25
gen_stargan_v2,Generative,46.67,43.21,37.33,45.30,32.30,39.17,39.40,44.94,39.04,5.90
gen_step1x_new,Generative,47.99,44.58,37.29,46.72,33.29,40.43,41.58,46.28,40.51,5.78
gen_step1x_v1p2,Generative,47.58,44.20,37.80,46.23,33.08,40.29,41.15,45.89,40.19,5.70
photometric_distort,Augmentation,49.40,44.66,37.52,44.31,34.47,38.81,37.15,47.03,38.69,8.34
std_autoaugment,Standard Aug,47.31,42.51,35.92,43.46,31.55,37.89,38.10,44.91,37.75,7.16
std_cutmix,Standard Aug,45.21,40.24,34.82,40.49,29.96,35.47,34.88,42.73,35.20,7.53
std_mixup,Standard Aug,45.38,40.21,34.58,40.02,30.02,35.94,34.80,42.79,35.20,7.60
std_randaugment,Standard Aug,49.91,44.64,38.24,44.08,33.83,39.21,37.69,47.27,38.70,8.57
