Strategy,Type,clear_day,cloudy,dawn_dusk,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,85.74,86.97,80.44,85.32,75.74,79.65,77.72,86.36,79.61,6.75
gen_Attribute_Hallucination,Generative,86.14,88.09,82.21,85.97,76.90,80.23,78.19,87.11,80.32,6.79
gen_CNetSeg,Generative,86.12,87.72,81.55,85.95,76.63,80.02,77.77,86.92,80.09,6.83
gen_CUT,Generative,85.95,87.59,80.46,86.22,76.44,79.82,78.21,86.77,80.17,6.60
gen_IP2P,Generative,85.90,87.38,80.88,85.15,76.10,79.73,77.87,86.64,79.71,6.93
gen_Img2Img,Generative,86.12,87.90,80.88,85.82,77.06,80.07,77.79,87.01,80.19,6.83
gen_LANIT,Generative,85.93,87.27,80.50,85.01,75.97,79.89,77.43,86.60,79.58,7.03
gen_Qwen_Image_Edit,Generative,85.93,87.60,81.01,86.01,76.24,79.72,78.09,86.77,80.01,6.75
gen_SUSTechGAN,Generative,85.91,87.71,81.51,85.98,76.40,79.83,78.52,86.81,80.18,6.63
gen_TSIT,Generative,85.87,87.53,80.84,85.54,75.17,79.56,77.37,86.70,79.41,7.29
gen_UniControl,Generative,85.98,87.46,80.69,85.81,76.36,79.91,77.32,86.72,79.85,6.87
gen_VisualCloze,Generative,86.01,87.51,81.24,85.73,76.50,80.03,77.85,86.76,80.03,6.74
gen_Weather_Effect_Generator,Generative,85.97,87.55,81.45,85.63,75.75,79.98,77.33,86.76,79.67,7.09
gen_albumentations_weather,Generative,85.92,87.60,81.03,85.73,76.55,79.67,77.49,86.76,79.86,6.90
gen_augmenters,Generative,86.02,87.81,81.04,86.17,76.39,79.92,77.59,86.91,80.02,6.90
gen_automold,Generative,85.93,87.67,81.14,85.72,76.07,80.14,77.45,86.80,79.85,6.96
gen_cycleGAN,Generative,86.12,87.88,81.60,86.09,77.20,80.05,77.87,87.00,80.30,6.70
gen_cyclediffusion,Generative,86.07,87.17,80.20,85.08,76.09,80.06,77.82,86.62,79.76,6.86
gen_flux_kontext,Generative,86.11,87.83,81.71,85.74,76.23,80.09,77.67,86.97,79.93,7.04
gen_stargan_v2,Generative,86.11,87.78,81.29,86.25,76.51,80.35,78.12,86.95,80.31,6.64
gen_step1x_new,Generative,85.92,87.67,80.51,85.82,76.05,79.82,78.08,86.79,79.94,6.85
gen_step1x_v1p2,Generative,85.77,87.40,80.53,85.61,76.41,79.29,77.35,86.59,79.67,6.92
std_photometric_distort,Augmentation,85.80,87.90,80.59,85.66,76.90,79.60,77.74,86.85,79.97,6.87
std_autoaugment,Standard Aug,86.07,87.56,83.31,85.69,79.13,80.10,77.56,86.82,80.62,6.19
std_cutmix,Standard Aug,85.76,87.38,80.48,85.49,75.44,79.43,77.30,86.57,79.42,7.15
std_mixup,Standard Aug,86.00,87.37,80.71,85.05,75.06,80.11,77.38,86.69,79.40,7.28
std_randaugment,Standard Aug,85.95,87.77,82.78,85.67,78.96,79.95,77.75,86.86,80.58,6.28
