Strategy,Type,clear_day,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,-,59.30,28.41,46.33,45.11,-,44.79,-
gen_Attribute_Hallucination,Generative,-,59.38,29.24,46.15,45.74,-,45.13,-
gen_CNetSeg,Generative,-,58.01,27.69,47.48,45.27,-,44.61,-
gen_CUT,Generative,-,59.01,29.32,46.85,44.80,-,44.99,-
gen_IP2P,Generative,-,58.58,28.03,45.60,44.22,-,44.11,-
gen_Img2Img,Generative,-,58.80,28.93,47.75,46.67,-,45.54,-
gen_Qwen_Image_Edit,Generative,-,58.61,28.79,47.15,45.32,-,44.97,-
gen_SUSTechGAN,Generative,-,57.83,28.89,46.03,45.55,-,44.57,-
gen_TSIT,Generative,-,57.16,25.65,43.29,43.14,-,42.31,-
gen_UniControl,Generative,-,59.35,28.20,46.41,45.74,-,44.93,-
gen_VisualCloze,Generative,-,59.58,28.80,46.31,45.42,-,45.03,-
gen_Weather_Effect_Generator,Generative,-,57.79,28.16,47.71,45.14,-,44.70,-
gen_albumentations_weather,Generative,-,58.61,28.47,46.00,44.68,-,44.44,-
gen_augmenters,Generative,-,56.87,27.66,45.37,43.07,-,43.24,-
gen_automold,Generative,-,58.06,28.00,47.47,45.65,-,44.80,-
gen_cycleGAN,Generative,-,60.08,28.78,47.25,45.62,-,45.43,-
gen_cyclediffusion,Generative,-,59.19,29.07,46.17,45.16,-,44.90,-
gen_flux_kontext,Generative,-,59.00,29.11,46.76,45.14,-,45.00,-
gen_stargan_v2,Generative,-,58.30,28.34,46.10,44.63,-,44.34,-
gen_step1x_new,Generative,-,57.38,27.34,47.44,45.54,-,44.43,-
gen_step1x_v1p2,Generative,-,58.86,28.32,46.29,44.67,-,44.53,-
std_autoaugment,Standard Aug,-,58.64,28.79,45.66,45.26,-,44.59,-
std_cutmix,Standard Aug,-,59.44,28.69,46.23,44.62,-,44.75,-
std_mixup,Standard Aug,-,58.53,28.59,46.64,44.93,-,44.67,-
std_randaugment,Standard Aug,-,58.95,28.68,46.42,45.13,-,44.79,-
