strategy,dataset,model,has_clear_day,has_cloudy,has_dawn_dusk,has_foggy,has_night,has_rainy,has_snowy,normal_domains_present,adverse_domains_present,total_domains_present
baseline,bdd10k,deeplabv3plus_r50,True,True,True,True,True,True,True,2,5,7
baseline,bdd10k,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,bdd10k,segformer_mit-b5,True,True,True,True,True,True,True,2,5,7
baseline,idd-aw,deeplabv3plus_r50,True,True,True,True,True,True,True,2,5,7
baseline,idd-aw,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,idd-aw,pspnet_r50_old_backup,True,True,True,True,True,True,True,2,5,7
baseline,idd-aw,segformer_mit-b5,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,deeplabv3plus_r50,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,mapillaryvistas,segformer_mit-b5,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,deeplabv3plus_r50,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,pspnet_r50,True,True,True,True,True,True,True,2,5,7
baseline,outside15k,segformer_mit-b5,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,idd-aw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_ratio0p50_old_backup,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_Attribute_Hallucination,outside15k,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,bdd10k,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,idd-aw,deeplabv3plus_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,idd-aw,pspnet_r50_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,idd-aw,segformer_mit-b5_ratio0p50,True,True,True,True,True,True,True,2,5,7
gen_CNetSeg,idd-aw,segformer_mit-b5_ratio0p50_old_backup,True,True,True,True,True,True,True,2,5,7
