Strategy,Type,deeplabv3plus_r50,deeplabv3plus_r50_gain,mask2former_swin-b,mask2former_swin-b_gain,pspnet_r50,pspnet_r50_gain,segformer_mit-b3,segformer_mit-b3_gain,segnext_mscan-b,segnext_mscan-b_gain
gen_VisualCloze,Generative,-,-,57.67,+0.60,43.20,-0.23,51.67,+0.14,51.34,-0.03
gen_flux_kontext,Generative,-,-,57.44,+0.37,43.52,+0.09,51.61,+0.08,51.23,-0.14
baseline,Baseline,-,-,57.07,+0.00,43.43,+0.00,51.53,+0.00,51.37,+0.00
std_mixup,Standard Aug,-,-,56.93,-0.14,44.08,+0.65,52.21,+0.69,50.09,-1.28
std_cutmix,Standard Aug,-,-,57.22,+0.15,44.08,+0.65,50.75,-0.78,51.16,-0.21
std_randaugment,Standard Aug,-,-,57.64,+0.57,43.72,+0.29,50.51,-1.02,50.88,-0.49
gen_automold,Generative,-,-,55.53,-1.54,43.37,-0.06,51.89,+0.36,51.65,+0.29
gen_step1x_v1p2,Generative,-,-,57.21,+0.14,43.78,+0.35,50.60,-0.93,50.74,-0.62
gen_albumentations_weather,Generative,-,-,56.09,-0.98,42.99,-0.44,51.35,-0.17,51.09,-0.27
gen_step1x_new,Generative,-,-,56.22,-0.85,43.26,-0.17,50.39,-1.14,51.00,-0.36
gen_cyclediffusion,Generative,-,-,52.28,-4.79,43.86,+0.44,51.09,-0.43,50.03,-1.33
gen_SUSTechGAN,Generative,-,-,50.90,-6.17,43.75,+0.32,51.62,+0.09,50.84,-0.52
std_autoaugment,Standard Aug,43.97,-,57.86,+0.79,43.66,+0.23,50.41,-1.11,50.12,-1.25
gen_cycleGAN,Generative,-,-,-,-,43.75,+0.33,52.40,+0.88,50.14,-1.22
gen_IP2P,Generative,-,-,51.51,-5.56,42.60,-0.83,50.68,-0.84,49.67,-1.70
gen_Img2Img,Generative,-,-,51.53,-5.54,37.74,-5.69,51.97,+0.44,52.04,+0.67
gen_Attribute_Hallucination,Generative,-,-,51.88,-5.19,44.27,+0.84,51.18,-0.34,44.52,-6.84
gen_Qwen_Image_Edit,Generative,-,-,50.92,-6.15,37.07,-6.35,51.88,+0.35,51.77,+0.40
gen_TSIT,Generative,-,-,52.10,-4.97,37.03,-6.39,50.44,-1.08,51.04,-0.33
gen_Weather_Effect_Generator,Generative,-,-,50.23,-6.84,36.85,-6.58,52.17,+0.64,50.97,-0.39
gen_CNetSeg,Generative,-,-,51.70,-5.37,36.88,-6.55,49.97,-1.56,51.00,-0.36
gen_augmenters,Generative,-,-,-,-,37.05,-6.38,52.72,+1.19,51.46,+0.10
gen_stargan_v2,Generative,-,-,51.02,-6.05,35.34,-8.09,51.36,-0.17,50.33,-1.03
gen_CUT,Generative,-,-,52.71,-4.36,37.15,-6.27,50.77,-0.75,45.45,-5.92
gen_UniControl,Generative,-,-,51.12,-5.95,36.13,-7.30,51.57,+0.05,45.00,-6.37
