Strategy,Type,aAcc,Std,Gain,Normal aAcc,Adverse aAcc,Domain Gap,Num Tests
gen_Attribute_Hallucination,Generative,85.25,6.31,0.61,87.11,80.32,6.79,12
gen_cycleGAN,Generative,85.15,6.35,0.51,87.0,80.3,6.7,12
std_autoaugment,Standard Aug,85.14,6.27,0.51,86.82,80.62,6.19,12
gen_stargan_v2,Generative,85.13,6.35,0.5,86.95,80.31,6.64,12
gen_Img2Img,Generative,85.11,6.53,0.48,87.01,80.19,6.83,12
std_randaugment,Standard Aug,85.08,6.24,0.45,86.86,80.58,6.28,12
gen_flux_kontext,Generative,85.08,6.37,0.45,86.97,79.93,7.04,12
gen_CNetSeg,Generative,85.06,6.53,0.43,86.92,80.09,6.83,12
gen_augmenters,Generative,85.01,6.76,0.37,86.91,80.02,6.9,12
gen_SUSTechGAN,Generative,84.98,6.5,0.35,86.81,80.18,6.63,12
gen_VisualCloze,Generative,84.97,6.51,0.33,86.76,80.03,6.74,12
gen_CUT,Generative,84.96,6.58,0.33,86.77,80.17,6.6,12
gen_Qwen_Image_Edit,Generative,84.93,6.83,0.3,86.77,80.01,6.75,12
gen_automold,Generative,84.9,6.75,0.27,86.8,79.85,6.96,12
gen_step1x_new,Generative,84.89,6.66,0.26,86.79,79.94,6.85,12
gen_albumentations_weather,Generative,84.88,6.77,0.24,86.76,79.86,6.9,12
gen_Weather_Effect_Generator,Generative,84.87,6.67,0.24,86.76,79.67,7.09,12
gen_UniControl,Generative,84.87,6.67,0.24,86.72,79.85,6.87,12
photometric_distort,Augmentation,84.86,6.86,0.23,86.85,79.97,6.87,12
gen_cyclediffusion,Generative,84.83,6.84,0.2,86.62,79.76,6.86,12
gen_IP2P,Generative,84.81,6.84,0.18,86.64,79.71,6.93,12
std_mixup,Standard Aug,84.77,6.28,0.14,86.69,79.4,7.28,12
gen_LANIT,Generative,84.76,6.75,0.13,86.6,79.58,7.03,12
gen_TSIT,Generative,84.73,6.82,0.1,86.7,79.41,7.29,12
gen_step1x_v1p2,Generative,84.69,7.16,0.06,86.59,79.67,6.92,12
std_cutmix,Standard Aug,84.64,6.74,0.01,86.57,79.42,7.15,12
baseline,Baseline,84.63,6.86,,86.36,79.61,6.75,12
