Strategy,Type,mIoU,Std,Gain,Normal mIoU,Adverse mIoU,Domain Gap,Num Tests
gen_augmenters,Generative,52.09,9.23,1.24,,46.0,,6
gen_cycleGAN,Generative,51.27,9.4,0.43,,45.43,,6
gen_VisualCloze,Generative,50.97,10.76,0.12,,45.03,,12
gen_flux_kontext,Generative,50.95,10.37,0.1,,45.0,,12
baseline,Baseline,50.85,10.7,0.0,,44.79,,12
std_mixup,Standard Aug,50.83,10.26,-0.02,,44.67,,12
std_cutmix,Standard Aug,50.8,10.47,-0.05,,44.75,,12
gen_TSIT,Generative,50.74,9.91,-0.11,,44.59,,6
std_randaugment,Standard Aug,50.69,10.73,-0.16,,44.79,,12
gen_automold,Generative,50.61,10.22,-0.24,,44.8,,12
gen_step1x_v1p2,Generative,50.58,10.72,-0.26,,44.53,,12
std_autoaugment,Standard Aug,50.51,10.58,-0.34,,44.59,,12
gen_albumentations_weather,Generative,50.38,10.55,-0.47,,44.44,,12
gen_step1x_new,Generative,50.22,10.36,-0.63,,44.43,,12
gen_SUSTechGAN,Generative,49.13,9.3,-1.72,,44.57,,11
gen_cyclediffusion,Generative,49.05,9.2,-1.8,,44.9,,11
gen_Img2Img,Generative,49.05,9.06,-1.79,,45.54,,12
gen_Qwen_Image_Edit,Generative,48.69,9.35,-2.16,,44.97,,12
gen_IP2P,Generative,48.35,9.96,-2.49,,44.11,,12
gen_Weather_Effect_Generator,Generative,47.89,10.49,-2.96,,43.02,,9
gen_CNetSeg,Generative,47.09,10.54,-3.76,,42.3,,9
gen_CUT,Generative,46.99,7.9,-3.85,,44.99,,12
gen_stargan_v2,Generative,46.97,10.75,-3.88,,42.1,,9
gen_Attribute_Hallucination,Generative,46.89,7.83,-3.96,,45.13,,10
gen_UniControl,Generative,46.58,8.06,-4.27,,44.93,,10
