Strategy,Type,mIoU,Normal mIoU,Adverse mIoU,Domain Gap,Num Models,Datasets,Gain vs Baseline
gen_stargan_v2,Generative,41.72869929971578,42.36726709914403,41.15524451708954,1.212022582054481,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.377036788999348
gen_UniControl,Generative,41.70008138295185,42.36836752710246,40.95372868280842,1.4146388442940416,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.34841887223542045
gen_CNetSeg,Generative,41.68925058451574,42.25917909706819,40.96845819370128,1.2907209033669111,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.33758807379931
gen_VisualCloze,Generative,41.666763808881676,42.25608454321333,41.04309731499634,1.2129872282169913,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.3151012981652457
gen_cycleGAN,Generative,41.638384962142396,42.2576091826105,40.80908463258648,1.4485245500240171,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.2867224514259661
gen_Attribute_Hallucination,Generative,41.612015088922234,42.24935076425246,40.87438291114061,1.3749678531118563,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.26035257820580426
gen_cyclediffusion,Generative,41.5914351314562,42.33308920463517,40.85894211093131,1.4741470937038639,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.23977262073977101
gen_CUT,Generative,41.58288471795702,42.15318925903218,41.02642644223122,1.1267628168009522,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.23122220724059162
gen_augmenters,Generative,41.58215219160297,42.09309448488662,41.010167323050844,1.0829271618357657,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.2304896808865422
gen_SUSTechGAN,Generative,41.570671648441035,42.176663739943976,40.81262476123505,1.3640389787089175,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.21900913772460484
gen_LANIT,Generative,41.545775741803475,42.197033783309195,40.76711550487171,1.4299182784374798,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.19411323108704437
gen_TSIT,Generative,41.52830084174985,42.1375984498136,40.7335696306726,1.4040288191409964,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.1766383310334163
gen_step1x_v1p2,Generative,41.50142667657457,42.082412427081955,40.73664079904489,1.3457716280370564,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.14976416585813723
gen_albumentations_weather,Generative,41.48301137742842,42.16090600450658,40.75510360908722,1.4058023954193597,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.13134886671198842
gen_Img2Img,Generative,41.48030012101106,42.075477417732486,40.81176684674944,1.2637105709830465,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.12863761029463205
gen_flux_kontext,Generative,41.4235644670818,42.08795995392226,40.91123953920977,1.1767204147124908,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.07190195636537311
std_autoaugment,Standard Aug,41.383923034099034,41.96791180732515,40.86567286863287,1.1022389386922873,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.03226052338260388
gen_automold,Generative,41.37907566730067,42.040920478743956,40.63731301058376,1.4036074681601949,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.027413156584238152
gen_IP2P,Generative,41.36381378121794,41.968246875698,40.84901672924688,1.119230146451118,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.012151270501512101
baseline,Baseline,41.35166251071643,41.84942528144875,41.1849957063644,0.664429575084354,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",0.0
std_photometric_distort,Augmentation,41.31924288145794,41.91985331898138,40.7530769847505,1.1667763342308726,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.03241962925849151
gen_Qwen_Image_Edit,Generative,41.2647968570354,41.78934075422287,40.762375411412705,1.0269653428101668,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.08686565368103061
gen_step1x_new,Generative,41.237121953487076,41.818821595587146,40.41228555147749,1.4065360441096564,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.11454055722935408
std_mixup,Standard Aug,41.15581983193758,41.85171280949134,39.639287579063335,2.21242523042801,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.19584267877885253
std_randaugment,Standard Aug,41.14263976716236,41.718543811176545,40.46800415653917,1.2505396546373717,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.20902274355407258
std_cutmix,Standard Aug,40.81167871523297,41.62025927627304,39.95853501582192,1.66172426045112,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.5399837954834581
gen_Weather_Effect_Generator,Generative,40.707660986496855,41.35591216167058,39.938248874680156,1.4176632869904229,12,"bdd10k, idd-aw, mapillaryvistas, outside15k",-0.6440015242195756
