strategy,dataset,model,ratio,iteration,mIoU,aAcc,fwIoU,num_images,timestamp,mIoU_clear_day,mIoU_cloudy,mIoU_dawn_dusk,mIoU_foggy,mIoU_night,mIoU_rainy,mIoU_snowy,best_mIoU,is_best
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,10000,39.802585831863034,91.43810722814585,85.66754574306421,2928,20260104_223529,41.56862001008743,37.937039959063526,17.699722086195997,25.926960117294023,21.077682851222235,27.159025558517836,25.314332737636647,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,20000,51.675772320272515,94.29228440599523,90.05633873061343,2928,20260104_223827,52.173144429102294,51.88344889623251,26.58776984189169,45.01240331634533,30.89114916446104,38.491677368460955,33.78849657303448,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,30000,55.865957304984605,95.58238610130525,92.1447373041491,2928,20260104_224126,56.694742325715886,55.486270846400956,36.68473274295803,46.14534537527746,37.698830120167756,47.03492117163789,34.417811914534,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,40000,61.27775152207449,96.31362429461629,93.40624639324146,2928,20260104_224426,61.75160072280743,64.48066493683386,49.20058611637603,56.985861321652706,44.48021558511774,51.59489784268073,42.23536235594799,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,50000,57.41085900805061,95.66496179437857,92.65339494158816,2928,20260104_224724,57.801078106679384,58.42300417581684,42.99396195396478,53.29355584179724,44.99429313065478,46.3824875149396,40.95530567252893,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,60000,66.1552850790507,97.23892308876866,95.06268766124498,2928,20260104_225018,65.77862319475936,69.04533239602819,54.47328220437269,64.3028956101246,56.63605816307194,56.64817704539327,49.363370193733836,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,70000,69.30756074495477,97.66304885804729,95.73771684464876,2928,20260104_225258,69.1775691595901,71.69798989093722,60.064328044659845,68.44636640117213,59.15118947755176,57.70054913303538,54.97057755791337,70.444849993163,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,80000,70.444849993163,97.84345705226023,96.03022199332118,2928,20260104_225554,70.26500322361748,72.7054828854049,60.238649709303836,69.62155969517983,59.415645758385615,62.059689718675436,55.18530239755982,70.444849993163,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.12,10000,42.941321217615084,91.32729456957846,84.84059768622731,2928,20260104_223429,47.06313775540592,32.588669524560544,18.90241163038994,26.03752230657581,19.464746211087576,29.214275792884735,28.36959176778034,72.23279997908168,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.12,20000,56.11303726305159,95.26461965202331,91.76499895567699,2928,20260104_223743,57.01173182480199,56.21451999682472,33.63906545822312,45.45597297168303,42.88895493321777,43.311569431841534,33.66212509048771,72.23279997908168,False
