strategy,dataset,model,ratio,mIoU
gen_TSIT,bdd10k,pspnet_r50,0.88,
gen_TSIT,bdd10k,segformer_mit-b5,0.12,
gen_TSIT,bdd10k,segformer_mit-b5,0.38,
gen_TSIT,bdd10k,segformer_mit-b5,0.75,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.0,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.12,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.25,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.38,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.62,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.75,
gen_TSIT,idd-aw,deeplabv3plus_r50,0.88,
gen_TSIT,idd-aw,pspnet_r50,0.0,
gen_TSIT,idd-aw,pspnet_r50,0.12,
gen_TSIT,idd-aw,pspnet_r50,0.25,
gen_TSIT,idd-aw,pspnet_r50,0.38,
gen_TSIT,idd-aw,pspnet_r50,0.62,
gen_TSIT,idd-aw,segformer_mit-b5,0.0,
gen_TSIT,idd-aw,segformer_mit-b5,0.12,
gen_TSIT,idd-aw,segformer_mit-b5,0.25,
gen_TSIT,idd-aw,segformer_mit-b5,0.62,
gen_TSIT,idd-aw,segformer_mit-b5,0.75,
gen_TSIT,outside15k,deeplabv3plus_r50,0.0,
gen_TSIT,outside15k,deeplabv3plus_r50,0.12,
gen_TSIT,outside15k,deeplabv3plus_r50,0.25,
gen_TSIT,outside15k,deeplabv3plus_r50,0.38,
gen_TSIT,outside15k,deeplabv3plus_r50,0.62,
gen_TSIT,outside15k,deeplabv3plus_r50,0.75,
gen_TSIT,outside15k,pspnet_r50,0.0,
gen_TSIT,outside15k,pspnet_r50,0.12,
gen_TSIT,outside15k,pspnet_r50,0.25,
gen_TSIT,outside15k,pspnet_r50,0.38,
gen_TSIT,outside15k,pspnet_r50,0.62,
gen_TSIT,outside15k,pspnet_r50,0.75,
gen_TSIT,outside15k,segformer_mit-b5,0.0,
gen_TSIT,outside15k,segformer_mit-b5,0.12,
gen_TSIT,outside15k,segformer_mit-b5,0.25,
gen_TSIT,outside15k,segformer_mit-b5,0.38,
gen_TSIT,outside15k,segformer_mit-b5,0.62,
gen_TSIT,outside15k,segformer_mit-b5,0.75,
gen_cycleGAN,idd-aw,pspnet_r50,0.0,37.11691016069269
gen_cycleGAN,idd-aw,pspnet_r50,0.12,37.313283932149524
gen_cycleGAN,idd-aw,pspnet_r50,0.25,37.454980214712315
gen_cycleGAN,idd-aw,pspnet_r50,0.38,37.39674051002358
gen_cycleGAN,idd-aw,pspnet_r50,0.62,38.057313043974276
gen_cycleGAN,idd-aw,pspnet_r50,0.75,38.269688055705096
gen_cycleGAN,idd-aw,pspnet_r50,0.88,37.3299932291287
gen_cycleGAN,idd-aw,segformer_mit-b5,0.0,43.27334599470869
gen_cycleGAN,idd-aw,segformer_mit-b5,0.12,43.2534192487664
gen_cycleGAN,idd-aw,segformer_mit-b5,0.25,43.06771149493551
gen_cycleGAN,idd-aw,segformer_mit-b5,0.38,43.04167777977136
gen_cycleGAN,idd-aw,segformer_mit-b5,0.62,43.12634512379102
gen_cycleGAN,idd-aw,segformer_mit-b5,0.75,43.06107992610331
gen_cycleGAN,idd-aw,segformer_mit-b5,0.88,42.91727170175944
gen_cycleGAN,outside15k,pspnet_r50,0.0,35.39668189305939
gen_cycleGAN,outside15k,pspnet_r50,0.12,35.15285136635761
gen_cycleGAN,outside15k,pspnet_r50,0.25,35.065676371684226
gen_cycleGAN,outside15k,pspnet_r50,0.38,35.68665810830915
gen_cycleGAN,outside15k,pspnet_r50,0.62,34.95872928060292
gen_cycleGAN,outside15k,pspnet_r50,0.75,35.29721864444733
gen_cycleGAN,outside15k,pspnet_r50,0.88,34.18295938122879
gen_cycleGAN,outside15k,segformer_mit-b5,0.0,48.70452194878988
gen_cycleGAN,outside15k,segformer_mit-b5,0.12,48.23484667356516
gen_cycleGAN,outside15k,segformer_mit-b5,0.25,48.12163390810431
gen_cycleGAN,outside15k,segformer_mit-b5,0.38,48.26771982327707
gen_cycleGAN,outside15k,segformer_mit-b5,0.62,48.642370191768876
gen_cycleGAN,outside15k,segformer_mit-b5,0.75,48.592985210311674
gen_cycleGAN,outside15k,segformer_mit-b5,0.88,48.17636743021449
gen_cyclediffusion,idd-aw,pspnet_r50,0.0,37.45263315822558
gen_cyclediffusion,idd-aw,pspnet_r50,0.12,36.9778408856955
gen_cyclediffusion,idd-aw,pspnet_r50,0.25,37.56062083677129
gen_cyclediffusion,idd-aw,pspnet_r50,0.38,37.931560504929344
gen_cyclediffusion,idd-aw,pspnet_r50,0.62,37.03529941924493
gen_cyclediffusion,idd-aw,pspnet_r50,0.75,37.36571026631625
gen_cyclediffusion,idd-aw,segformer_mit-b5,0.0,43.30032542575527
gen_cyclediffusion,idd-aw,segformer_mit-b5,0.12,43.17641804008982
gen_cyclediffusion,idd-aw,segformer_mit-b5,0.25,43.09575640539324
gen_stargan_v2,idd-aw,pspnet_r50,0.0,37.71702517901085
gen_stargan_v2,idd-aw,pspnet_r50,0.12,37.6000952092611
gen_stargan_v2,idd-aw,pspnet_r50,0.25,37.301790999845295
gen_stargan_v2,idd-aw,pspnet_r50,0.38,38.37992168208474
gen_stargan_v2,idd-aw,pspnet_r50,0.62,37.30489451018208
gen_stargan_v2,idd-aw,pspnet_r50,0.75,37.6837781601662
gen_stargan_v2,idd-aw,segformer_mit-b5,0.0,43.14692616718458
gen_stargan_v2,idd-aw,segformer_mit-b5,0.12,43.056100204741945
gen_stargan_v2,idd-aw,segformer_mit-b5,0.25,43.210109380488355
gen_step1x_new,bdd10k,pspnet_r50,0.0,
gen_step1x_new,bdd10k,pspnet_r50,0.12,
gen_step1x_new,bdd10k,pspnet_r50,0.25,
gen_step1x_new,bdd10k,pspnet_r50,0.38,
gen_step1x_new,bdd10k,pspnet_r50,0.62,
gen_step1x_new,bdd10k,pspnet_r50,0.75,
gen_step1x_new,bdd10k,pspnet_r50,0.88,
gen_step1x_new,bdd10k,segformer_mit-b5,0.0,
gen_step1x_new,bdd10k,segformer_mit-b5,0.12,
gen_step1x_new,bdd10k,segformer_mit-b5,0.25,
gen_step1x_new,bdd10k,segformer_mit-b5,0.38,
gen_step1x_new,bdd10k,segformer_mit-b5,0.62,
gen_step1x_new,bdd10k,segformer_mit-b5,0.75,
gen_step1x_new,bdd10k,segformer_mit-b5,0.88,
gen_step1x_new,idd-aw,pspnet_r50,0.0,
gen_step1x_new,idd-aw,pspnet_r50,0.12,
gen_step1x_new,idd-aw,pspnet_r50,0.25,
gen_step1x_new,idd-aw,pspnet_r50,0.38,
gen_step1x_new,idd-aw,pspnet_r50,0.62,
gen_step1x_new,idd-aw,pspnet_r50,0.75,
gen_step1x_new,idd-aw,pspnet_r50,0.88,
gen_step1x_new,idd-aw,segformer_mit-b5,0.0,
gen_step1x_new,idd-aw,segformer_mit-b5,0.12,
gen_step1x_new,idd-aw,segformer_mit-b5,0.25,
gen_step1x_new,idd-aw,segformer_mit-b5,0.38,
gen_step1x_new,idd-aw,segformer_mit-b5,0.62,
gen_step1x_new,idd-aw,segformer_mit-b5,0.75,
gen_step1x_new,idd-aw,segformer_mit-b5,0.88,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.0,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.12,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.25,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.38,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.62,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.75,
gen_step1x_new,mapillaryvistas,pspnet_r50,0.88,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.0,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.12,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.25,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.38,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.62,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.75,
gen_step1x_new,mapillaryvistas,segformer_mit-b5,0.88,
gen_step1x_new,outside15k,pspnet_r50,0.0,
gen_step1x_new,outside15k,pspnet_r50,0.12,
gen_step1x_new,outside15k,pspnet_r50,0.25,
gen_step1x_new,outside15k,pspnet_r50,0.38,
gen_step1x_new,outside15k,pspnet_r50,0.62,
gen_step1x_new,outside15k,pspnet_r50,0.75,
gen_step1x_new,outside15k,pspnet_r50,0.88,
gen_step1x_new,outside15k,segformer_mit-b5,0.0,
gen_step1x_new,outside15k,segformer_mit-b5,0.12,
gen_step1x_new,outside15k,segformer_mit-b5,0.25,
gen_step1x_new,outside15k,segformer_mit-b5,0.38,
gen_step1x_new,outside15k,segformer_mit-b5,0.62,
gen_step1x_new,outside15k,segformer_mit-b5,0.75,
gen_step1x_new,outside15k,segformer_mit-b5,0.88,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.62,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.75,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.88,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.62,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.75,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.88,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.0,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.12,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.25,
gen_step1x_v1p2,bdd10k,pspnet_r50,0.38,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.0,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.12,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.25,
gen_step1x_v1p2,bdd10k,segformer_mit-b5,0.38,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.38,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.62,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.75,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.88,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.38,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.62,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.75,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.88,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.12,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.25,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.0,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.12,
gen_step1x_v1p2,idd-aw,segformer_mit-b5,0.25,
gen_step1x_v1p2,idd-aw,pspnet_r50,0.0,
gen_step1x_v1p2,mapillaryvistas,pspnet_r50,0.0,
gen_step1x_v1p2,mapillaryvistas,pspnet_r50,0.12,
gen_step1x_v1p2,mapillaryvistas,pspnet_r50,0.25,
gen_step1x_v1p2,mapillaryvistas,segformer_mit-b5,0.0,
gen_step1x_v1p2,mapillaryvistas,segformer_mit-b5,0.12,
gen_step1x_v1p2,mapillaryvistas,segformer_mit-b5,0.25,
gen_step1x_v1p2,outside15k,pspnet_r50,0.62,
gen_step1x_v1p2,outside15k,pspnet_r50,0.75,
gen_step1x_v1p2,outside15k,pspnet_r50,0.88,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.62,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.75,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.88,
gen_step1x_v1p2,outside15k,pspnet_r50,0.0,
gen_step1x_v1p2,outside15k,pspnet_r50,0.12,
gen_step1x_v1p2,outside15k,pspnet_r50,0.25,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.0,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.12,
gen_step1x_v1p2,outside15k,segformer_mit-b5,0.25,
