strategy,dataset,model,domain,mIoU,fwIoU,aAcc,mAcc,num_images
baseline,bdd10k,deeplabv3plus_r50,clear_day,41.9984,83.6448,90.7019,48.7957,1016.0
baseline,bdd10k,deeplabv3plus_r50,cloudy,43.8411,88.2205,93.3856,49.544,230.0
baseline,bdd10k,deeplabv3plus_r50,dawn_dusk,34.6591,83.2468,90.3788,39.9083,94.0
baseline,bdd10k,deeplabv3plus_r50,night,19.3032,54.2135,69.175,25.2577,92.0
baseline,bdd10k,deeplabv3plus_r50,rainy,37.6936,78.6551,87.4926,44.5306,200.0
baseline,bdd10k,deeplabv3plus_r50,snowy,43.9283,81.9548,89.5324,53.7066,221.0
baseline,bdd10k,pspnet_r50,clear_day,44.5459,83.786,90.8155,51.4756,1016.0
baseline,bdd10k,pspnet_r50,cloudy,48.0246,88.6042,93.6256,54.6058,230.0
baseline,bdd10k,pspnet_r50,dawn_dusk,36.8869,84.424,91.123,43.1719,94.0
baseline,bdd10k,pspnet_r50,night,21.9755,55.8093,68.1992,29.5315,92.0
baseline,bdd10k,pspnet_r50,rainy,43.1515,80.344,88.6681,50.0918,200.0
baseline,bdd10k,pspnet_r50,snowy,48.2729,82.6874,90.0963,57.8873,221.0
baseline,bdd10k,segformer_mit-b5,clear_day,50.8856,85.7462,92.0143,58.3569,1016.0
baseline,bdd10k,segformer_mit-b5,cloudy,52.782,90.2191,94.6105,59.3242,230.0
baseline,bdd10k,segformer_mit-b5,dawn_dusk,42.4016,86.1595,92.0847,49.9485,94.0
baseline,bdd10k,segformer_mit-b5,night,28.4238,65.3231,77.3917,36.3431,92.0
baseline,bdd10k,segformer_mit-b5,rainy,49.392,83.7882,90.867,56.8639,200.0
baseline,bdd10k,segformer_mit-b5,snowy,55.5724,85.1269,91.5303,67.4138,221.0
baseline,idd-aw,deeplabv3plus_r50,clear_day,43.3862,72.6312,83.1642,52.4724,1650.0
baseline,idd-aw,deeplabv3plus_r50,cloudy,30.032,74.941,83.482,40.406,416.0
baseline,idd-aw,deeplabv3plus_r50,dawn_dusk,26.8889,75.8818,84.6513,35.8652,112.0
baseline,idd-aw,deeplabv3plus_r50,foggy,21.0136,71.1052,80.2669,30.0366,290.0
baseline,idd-aw,deeplabv3plus_r50,night,20.9683,61.6256,74.2577,28.4597,93.0
baseline,idd-aw,deeplabv3plus_r50,rainy,22.8944,69.6268,80.504,28.9402,204.0
baseline,idd-aw,deeplabv3plus_r50,snowy,19.8304,58.6549,73.1692,27.7829,163.0
baseline,idd-aw,pspnet_r50,clear_day,42.3493,71.7504,82.5564,51.524,1650.0
baseline,idd-aw,pspnet_r50,cloudy,30.3282,78.5081,86.5199,40.6555,416.0
baseline,idd-aw,pspnet_r50,dawn_dusk,27.0394,75.9426,84.815,37.7586,112.0
baseline,idd-aw,pspnet_r50,foggy,23.1373,75.9825,84.609,32.5018,290.0
baseline,idd-aw,pspnet_r50,night,20.385,60.3541,74.1389,29.2232,93.0
baseline,idd-aw,pspnet_r50,rainy,23.8625,68.5826,80.0325,30.7745,204.0
baseline,idd-aw,pspnet_r50,snowy,21.1299,59.682,74.1649,29.9092,163.0
baseline,idd-aw,segformer_mit-b5,clear_day,46.0431,74.1775,84.1976,55.8594,1650.0
baseline,idd-aw,segformer_mit-b5,cloudy,38.1962,84.6041,90.7331,48.2785,416.0
baseline,idd-aw,segformer_mit-b5,dawn_dusk,39.1592,82.0427,89.3569,48.4775,112.0
baseline,idd-aw,segformer_mit-b5,foggy,34.8705,85.231,91.2002,45.467,290.0
baseline,idd-aw,segformer_mit-b5,night,34.3443,74.6343,84.4747,45.173,93.0
baseline,idd-aw,segformer_mit-b5,rainy,30.216,71.7393,81.9685,40.6068,204.0
baseline,idd-aw,segformer_mit-b5,snowy,28.6496,64.4066,77.3487,43.4471,163.0
baseline,mapillaryvistas,deeplabv3plus_r50,clear_day,32.2583,81.8298,88.7819,39.8426,3226.0
baseline,mapillaryvistas,deeplabv3plus_r50,cloudy,33.3302,84.9854,90.7953,41.7591,1248.0
baseline,mapillaryvistas,deeplabv3plus_r50,night,27.8375,75.455,83.2444,35.0222,81.0
