strategy,dataset,model,domain,mIoU,fwIoU,aAcc,mAcc,num_images
baseline,bdd10k,mask2former_swin-b,clear_day,51.7302,86.5239,92.2884,62.2268,1016.0
baseline,bdd10k,mask2former_swin-b,cloudy,53.0425,90.4803,94.6403,62.3862,230.0
baseline,bdd10k,mask2former_swin-b,dawn_dusk,42.2317,87.1507,92.4285,51.7765,94.0
baseline,bdd10k,mask2former_swin-b,night,31.6331,65.7166,78.4473,42.258,92.0
baseline,bdd10k,mask2former_swin-b,rainy,54.0906,85.3107,91.6182,64.3166,200.0
baseline,bdd10k,mask2former_swin-b,snowy,57.5584,86.0402,91.9723,72.2078,221.0
baseline,bdd10k,pspnet_r50,clear_day,32.1244,76.9922,85.6069,42.0005,1016.0
baseline,bdd10k,pspnet_r50,cloudy,32.7839,83.1628,89.4219,41.3535,230.0
baseline,bdd10k,pspnet_r50,dawn_dusk,30.2494,78.9138,86.8981,38.7667,94.0
baseline,bdd10k,pspnet_r50,night,15.7014,44.91,56.8174,26.3734,92.0
baseline,bdd10k,pspnet_r50,rainy,26.501,67.5552,77.9728,36.2505,200.0
baseline,bdd10k,pspnet_r50,snowy,32.7401,72.2292,82.1516,43.8921,221.0
baseline,bdd10k,segformer_mit-b3,clear_day,47.3175,85.1459,91.6164,54.6444,1016.0
baseline,bdd10k,segformer_mit-b3,cloudy,49.607,89.5581,94.208,56.128,230.0
baseline,bdd10k,segformer_mit-b3,dawn_dusk,39.8304,85.7417,91.888,46.6076,94.0
baseline,bdd10k,segformer_mit-b3,night,24.6059,58.0378,71.2666,32.676,92.0
baseline,bdd10k,segformer_mit-b3,rainy,46.2425,82.8836,90.2233,53.5947,200.0
baseline,bdd10k,segformer_mit-b3,snowy,50.1021,83.7349,90.5735,60.6262,221.0
baseline,bdd10k,segnext_mscan-b,clear_day,42.5772,83.3456,90.6304,48.3594,1016.0
baseline,bdd10k,segnext_mscan-b,cloudy,43.5261,87.7084,93.1467,48.925,230.0
baseline,bdd10k,segnext_mscan-b,dawn_dusk,35.8635,83.874,90.762,42.3657,94.0
baseline,bdd10k,segnext_mscan-b,night,23.9355,58.4195,71.2754,30.9709,92.0
baseline,bdd10k,segnext_mscan-b,rainy,39.9273,80.8423,89.0139,46.2726,200.0
baseline,bdd10k,segnext_mscan-b,snowy,44.2183,82.6638,90.1185,50.1905,221.0
baseline,iddaw,hrnet_hr48,clear_day,22.5485,57.4962,71.7528,30.6394,1650.0
baseline,iddaw,hrnet_hr48,cloudy,18.8038,76.4577,84.9976,24.8187,416.0
baseline,iddaw,hrnet_hr48,dawn_dusk,18.8035,74.9996,84.5143,24.6583,112.0
baseline,iddaw,hrnet_hr48,foggy,16.3066,77.5347,85.4246,21.3782,290.0
baseline,iddaw,hrnet_hr48,night,14.9981,61.9751,73.5875,21.0833,93.0
baseline,iddaw,hrnet_hr48,rainy,15.6857,60.7109,73.4255,20.1788,204.0
baseline,iddaw,hrnet_hr48,snowy,15.6768,55.5689,70.9631,20.4552,163.0
baseline,iddaw,mask2former_swin-b,clear_day,44.5302,72.9643,82.9646,57.4267,1650.0
baseline,iddaw,mask2former_swin-b,cloudy,40.5751,85.9032,91.3099,52.7276,416.0
baseline,iddaw,mask2former_swin-b,dawn_dusk,38.9227,82.5195,89.305,52.7482,112.0
baseline,iddaw,mask2former_swin-b,foggy,38.8372,87.0154,92.0473,51.9605,290.0
baseline,iddaw,mask2former_swin-b,night,36.9578,77.2501,85.6961,50.2029,93.0
baseline,iddaw,mask2former_swin-b,rainy,35.4473,75.9263,84.5987,48.4271,204.0
baseline,iddaw,mask2former_swin-b,snowy,32.0935,66.5092,78.2752,53.4307,163.0
baseline,iddaw,pspnet_r50,clear_day,36.9065,67.3727,79.5992,46.4673,1650.0
baseline,iddaw,pspnet_r50,cloudy,31.3388,80.5793,87.9634,40.9773,416.0
baseline,iddaw,pspnet_r50,dawn_dusk,25.9046,76.5595,85.504,34.9495,112.0
baseline,iddaw,pspnet_r50,foggy,25.7472,79.3525,86.5602,35.8019,290.0
baseline,iddaw,pspnet_r50,night,21.6502,66.6148,77.6927,30.715,93.0
baseline,iddaw,pspnet_r50,rainy,23.1867,64.0775,75.872,32.0022,204.0
baseline,iddaw,pspnet_r50,snowy,21.4652,58.2812,73.1264,31.8186,163.0
baseline,iddaw,segformer_mit-b3,clear_day,37.2912,68.5753,80.5098,46.5406,1650.0
baseline,iddaw,segformer_mit-b3,cloudy,32.155,81.9956,89.1402,40.6286,416.0
baseline,iddaw,segformer_mit-b3,dawn_dusk,26.21,77.9124,86.2581,35.2679,112.0
baseline,iddaw,segformer_mit-b3,foggy,27.9763,82.7788,89.5637,35.9908,290.0
baseline,iddaw,segformer_mit-b3,night,23.0097,72.1718,81.9609,31.6703,93.0
baseline,iddaw,segformer_mit-b3,rainy,26.2875,70.2825,80.9448,34.7398,204.0
