strategy,overall_mIoU,normal_mIoU,adverse_mIoU,domain_gap,n_reliable_results,n_total_results
gen_UniControl,38.667450758888066,39.51237513621877,35.237325792988315,4.275049343230457,96,112
gen_automold,38.591316392889055,39.5199995392738,34.93217174958296,4.587827789690834,102,119
gen_augmenters,38.56460697434628,39.4589989565128,34.93365922370618,4.525339732806621,96,112
gen_cyclediffusion,38.5464926379609,39.47167833864501,34.79053215776293,4.681146180882081,96,112
gen_Qwen_Image_Edit,38.50671297739833,39.420908568931836,34.79536885434056,4.625539714591277,96,112
std_randaugment,38.49857121380847,39.43416991878277,34.700337239148574,4.733832679634197,96,112
gen_stargan_v2,38.45504512084467,39.384273026112886,34.68267457220367,4.701598453909213,96,112
gen_albumentations_weather,38.448305003476015,39.330024505653235,34.97420384653126,4.355820659121974,102,119
gen_flux_kontext,38.434490551018726,39.38980919862239,34.55619986435726,4.833609334265127,96,112
std_cutmix,38.36216942794688,39.23811921969775,34.806091120617694,4.432028099080057,96,112
std_autoaugment,38.360944625917675,39.31598486429526,34.48378419240401,4.8322006718912505,96,112
gen_SUSTechGAN,38.35548997772828,39.25576701963607,34.700650751252084,4.555116268383983,96,112
gen_Img2Img,38.19494826569331,39.01579736301018,34.86256130008347,4.153236062926709,96,112
gen_Attribute_Hallucination,38.09128173925596,38.9149181350879,34.74757922579299,4.167338909294912,96,112
gen_IP2P,38.07740701146581,38.92141818135088,34.65098937813022,4.2704288032206605,96,112
gen_cycleGAN,38.076409382991,39.071517937185156,34.03658429674457,5.034933640440585,96,112
gen_VisualCloze,38.06610872308835,38.91259058034338,34.6296608827212,4.28292969762218,96,112
gen_CNetSeg,38.06383666377959,38.87208446077927,34.782606980383974,4.089477480395296,96,112
std_mixup,38.01800937680442,38.85019935488845,34.63958203255425,4.210617322334201,96,112
gen_Weather_Effect_Generator,37.97637980079188,38.832110583941606,34.50238425500835,4.329726328933255,96,112
gen_step1x_v1p2,37.8221871665508,38.669843181252176,34.48230103032087,4.187542150931307,102,119
gen_CUT,37.82045169306277,38.64447496401768,34.47517858931552,4.169296374702164,96,112
gen_step1x_new,37.782455277159116,38.693676295363424,34.083186978297164,4.610489317066261,96,112
gen_TSIT,37.70653007300174,38.498637570679556,34.49082488522538,4.0078126854541765,96,112
gen_LANIT,37.41111207290401,38.44531955190349,33.52933967887259,4.915979873030899,85,98
baseline,33.02311009495933,33.845968064318726,29.59442669480348,4.251541369515245,114,133
