strategy,overall_mIoU,normal_mIoU,adverse_mIoU,domain_gap,n_reliable_results,n_total_results
gen_Attribute_Hallucination,38.2360981192774,39.513771512285395,33.04914941569282,6.464622096592578,72,84
gen_Img2Img,38.09859058538866,39.42444560159008,32.71603977462437,6.708405826965709,72,84
gen_CNetSeg,38.09219022244219,39.44207616257154,32.61208148302727,6.829994679544271,72,84
gen_stargan_v2,38.06191331903545,39.3752611014016,32.73013791040623,6.6451231909953705,72,84
gen_cyclediffusion,38.01788328521543,39.346600822452956,32.623711547022815,6.722889275430141,72,84
gen_augmenters,38.01198828672771,39.34502071553409,32.60029945742905,6.744721258105038,72,84
gen_cycleGAN,38.001745923726254,39.31634104725677,32.66490670562048,6.651434341636289,72,84
gen_flux_kontext,37.98935501113586,39.30795670127823,32.6362504034502,6.671706297828031,72,84
gen_IP2P,37.98542494707031,39.326476981597615,32.5411790623261,6.785297919271514,72,84
gen_VisualCloze,37.90464305589926,39.231851900209044,32.51659613244296,6.715255767766081,72,84
gen_Weather_Effect_Generator,37.86903585196183,39.20273208251945,32.45465219810796,6.748079884411489,72,84
gen_automold,37.8657307294674,39.144717381172676,32.673450612131326,6.47126676904135,72,84
gen_SUSTechGAN,37.852652987434354,39.102977128953775,32.77673356983862,6.326243559115156,72,84
gen_step1x_new,37.808622502680855,39.10365978547686,32.551181914301615,6.552477871175242,72,84
gen_Qwen_Image_Edit,37.793823170832304,39.08282253863816,32.560894602114644,6.521927936523518,72,84
std_autoaugment,37.78967205862135,38.96322345019019,33.02542565386756,5.937797796322634,72,84
gen_albumentations_weather,37.72934127141246,39.00940840615469,32.53267473567056,6.47673367048413,72,84
gen_LANIT,37.72842359426984,39.11844147219082,32.08539191708403,7.0330495551067855,72,84
gen_UniControl,37.72450039869119,39.0267066138926,32.43795621869783,6.588750395194772,72,84
gen_step1x_v1p2,37.6509815199758,38.972783424145845,32.28488505843072,6.687898365715128,72,84
gen_TSIT,37.626432123511776,39.00165823995065,32.043450306065665,6.958207933884985,72,84
gen_CUT,37.59060868321922,38.880561077413375,32.35381112966054,6.526749947752833,72,84
photometric_distort,37.53122378124227,38.814177033000924,32.32284052587646,6.4913365071244655,72,84
std_mixup,37.439740650004126,38.83276060450294,31.784521494156927,7.04823911034601,72,84
std_randaugment,37.33185120019797,38.471006517939756,32.70724194490818,5.7637645730315725,72,84
std_cutmix,37.20648363991311,38.548618114526576,31.757843391764048,6.790774722762528,72,84
baseline,37.1211822156232,38.56114451869367,31.27539201446856,7.285752504225112,72,84
