domain,rank,strategy,strategy_type,improvement
clear_day,1,gen_Attribute_Hallucination,gen,1.144352761671432
clear_day,2,gen_Img2Img,gen,1.0568943103148325
clear_day,3,gen_stargan_v2,gen,1.050505345451871
clear_day,4,gen_cyclediffusion,gen,1.0198271799799932
clear_day,5,gen_cycleGAN,gen,1.0185597476942985
cloudy,1,gen_Attribute_Hallucination,gen,1.857537052701846
cloudy,2,gen_Img2Img,gen,1.646595986332179
cloudy,3,gen_augmenters,gen,1.561256307016612
cloudy,4,gen_automold,gen,1.556093566001693
cloudy,5,gen_stargan_v2,gen,1.5378081243413018
dawn_dusk,1,gen_Attribute_Hallucination,gen,2.2058111876481106
dawn_dusk,2,std_autoaugment,std,1.9171013611105223
dawn_dusk,3,gen_cycleGAN,gen,1.5555984588476883
dawn_dusk,4,gen_stargan_v2,gen,1.5468698875527822
dawn_dusk,5,gen_VisualCloze,gen,1.2717130069361866
foggy,1,std_autoaugment,std,2.71658233555504
foggy,2,gen_augmenters,gen,2.369611217131424
foggy,3,gen_CNetSeg,gen,2.092523808092701
foggy,4,std_cutmix,std,1.913602919542048
foggy,5,gen_Attribute_Hallucination,gen,1.8928777837119244
night,1,std_autoaugment,std,2.3966325156178088
night,2,std_randaugment,std,1.9594618636341228
night,3,gen_SUSTechGAN,gen,1.2982884567420516
night,4,gen_Attribute_Hallucination,gen,1.2140667004600727
night,5,gen_cycleGAN,gen,1.2117387792653822
rainy,1,gen_cyclediffusion,gen,1.2975085542503202
rainy,2,gen_Attribute_Hallucination,gen,1.2430683278764778
rainy,3,gen_stargan_v2,gen,1.217447781417694
rainy,4,std_autoaugment,std,1.0838022839841592
rainy,5,gen_automold,gen,1.0708452487263316
snowy,1,gen_IP2P,gen,1.7830658833914574
snowy,2,gen_SUSTechGAN,gen,1.705216143689923
snowy,3,gen_Attribute_Hallucination,gen,1.6899005951080062
snowy,4,gen_Img2Img,gen,1.585252500216632
snowy,5,gen_Qwen_Image_Edit,gen,1.5393743428017392
