strategy,dataset,model,domain,mIoU,mAcc,aAcc,fwIoU,num_images,strategy_type,gen_component,std_component,model_normalized,improvement
baseline,bdd10k,deeplabv3plus_r50,clear_day,41.998356145245374,48.7956768795514,90.70190088734304,83.64482435370391,1016,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,cloudy,43.84110945418684,49.54395333334478,93.38564701618057,88.22045327631241,230,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,dawn_dusk,34.65909538971706,39.90831096417669,90.37879539278218,83.24684042300336,94,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,foggy,46.61508512052166,56.41630726596616,95.62488697453433,92.81099821219266,4,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,night,19.303174578539338,25.257733713891,69.17499667866255,54.21347192991712,92,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,rainy,37.69357947284984,44.53056524435495,87.49256996966747,78.65512117658973,200,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,deeplabv3plus_r50,snowy,43.92827045539776,53.70661405135064,89.53244922959985,81.95475401175571,221,baseline,,,deeplabv3plus_r50,0.0
baseline,bdd10k,pspnet_r50,clear_day,44.545949202460136,51.475597690741346,90.81551616039464,83.78601564064687,1016,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,cloudy,48.024633576502175,54.60577751927181,93.62563024202936,88.60416816259122,230,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,dawn_dusk,36.88688863538988,43.17186010331165,91.12302535538119,84.42402472156184,94,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,foggy,50.923333316190686,60.56536270995267,96.3171165765203,93.78527979037345,4,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,night,21.975481685867205,29.531521501784958,68.19921083444504,55.80925867060493,92,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,rainy,43.15145582968402,50.09182958807495,88.66810764812833,80.34395830629877,200,baseline,,,pspnet_r50,0.0
baseline,bdd10k,pspnet_r50,snowy,48.272857812734586,57.887315381390316,90.09625927050487,82.68743427601532,221,baseline,,,pspnet_r50,0.0
baseline,bdd10k,segformer_mit-b5,clear_day,50.8856304540247,58.35686943466485,92.01430670156222,85.74618230045327,1016,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,cloudy,52.78199163889772,59.32417559753588,94.61045477952217,90.21913469811369,230,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,dawn_dusk,42.40157552699464,49.94845962124504,92.0846513482232,86.15946085434058,94,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,foggy,56.02003116495483,69.59495285600916,95.95543508639255,93.12590555189381,4,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,night,28.423767237786095,36.34314993228591,77.39174327340427,65.32308054808624,92,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,rainy,49.39204868081498,56.863882225279504,90.86704480864528,83.78822402720604,200,baseline,,,segformer_mit-b5,0.0
baseline,bdd10k,segformer_mit-b5,snowy,55.57237241161732,67.41379228595153,91.53028935468514,85.12687301180202,221,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,deeplabv3plus_r50,clear_day,43.386242555457336,52.4723805633167,83.16420510022891,72.63116090782971,1650,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,cloudy,30.03195900544342,40.406025683952265,83.48197023361477,74.94101405981645,416,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,dawn_dusk,26.88891481539451,35.86521101578128,84.65133300606348,75.88180228845485,112,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,foggy,21.013600956088705,30.036566294164103,80.26685200818694,71.1052265945936,290,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,night,20.96834296839557,28.459733464266556,74.25771477158558,61.62560748384881,93,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,rainy,22.894428260460497,28.94015855468288,80.5040179198483,69.62683024162085,204,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,deeplabv3plus_r50,snowy,19.83037768746159,27.7829378971288,73.16923708603218,58.654873245815864,163,baseline,,,deeplabv3plus_r50,0.0
baseline,idd-aw,pspnet_r50,clear_day,42.34930341395946,51.52403509961798,82.55636135162445,71.7504446083298,1650,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,cloudy,30.3282314544079,40.65550333875969,86.51987483824554,78.50805519663841,416,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,dawn_dusk,27.039432570437345,37.7585920800319,84.81498055658044,75.9425927662131,112,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,foggy,23.13730823715709,32.50183919589276,84.60896387676844,75.98254145841126,290,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,night,20.38498683879054,29.22315083117539,74.13888187471021,60.354055894918176,93,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,rainy,23.862485563066794,30.774456124118384,80.03246167066334,68.58256320774832,204,baseline,,,pspnet_r50,0.0
baseline,idd-aw,pspnet_r50,snowy,21.129949131831143,29.90916252793159,74.16488964622388,59.6819980674737,163,baseline,,,pspnet_r50,0.0
baseline,idd-aw,segformer_mit-b5,clear_day,46.04313047875631,55.8593896592113,84.19759954391834,74.17754907498087,1650,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,cloudy,38.196182843276645,48.278490009507294,90.73305680818784,84.6040615002753,416,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,dawn_dusk,39.15918973558356,48.477540307913664,89.35686474774228,82.04274504130315,112,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,foggy,34.8704674542274,45.467010709940276,91.20018104678293,85.2309805054728,290,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,night,34.344264786018464,45.173039063954725,84.4746961194911,74.634288041892,93,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,rainy,30.216036496513127,40.606846956554,81.96850070962981,71.7393390063888,204,baseline,,,segformer_mit-b5,0.0
baseline,idd-aw,segformer_mit-b5,snowy,28.649601916951546,43.44710811030167,77.34871798573312,64.406633186345,163,baseline,,,segformer_mit-b5,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,clear_day,32.25826804934099,39.842627548309366,88.78187426704837,81.8298275806503,3226,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,cloudy,33.33018937161392,41.759127597363424,90.7952531790122,84.98543864731568,1248,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,dawn_dusk,34.3044320683078,41.80859733310987,88.1046454111735,80.53489174929072,48,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,foggy,33.14610443460985,42.208309801891055,86.08678181966147,79.71651513905539,27,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,night,27.837540726308006,35.02223732097486,83.24444617754148,75.45504281602025,81,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,rainy,28.831003759940625,36.55279119657535,84.58715921424957,76.2243724468973,166,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,deeplabv3plus_r50,snowy,26.930487581964957,35.014980578802934,83.04098789988001,75.01154405617586,153,baseline,,,deeplabv3plus_r50,0.0
baseline,mapillaryvistas,pspnet_r50,clear_day,31.826462106387794,39.97717798902828,88.17699453657781,80.56992307714815,3226,baseline,,,pspnet_r50,0.0
